backbone	rank	score	score_gradient	is_positive
XGB-20raw	92	0.533801	0.00432259	1
XGB-20raw	93	0.529478	0.00253415	1
XGB-20raw	94	0.526944	0.00234622	1
XGB-20raw	95	0.524598	0.00789684	1
XGB-20raw	96	0.516701	0.00640142	1
XGB-20raw	97	0.5103	0.000751376	1
XGB-20raw	98	0.509548	0.00264555	1
XGB-20raw	99	0.506903	0.0161327	1
XGB-20raw	100	0.49077	0.0034931	1
XGB-20raw	101	0.487277	0.0063276	1
XGB-20raw	102	0.48095	0.00386095	1
XGB-20raw	103	0.477089	0.00412548	1
XGB-20raw	104	0.472963	0.00160009	1
XGB-20raw	105	0.471363	0.0163341	1
XGB-20raw	106	0.455029	0.00324854	1
XGB-20raw	107	0.45178	9.31621e-05	1
XGB-20raw	108	0.451687	0.00177532	1
XGB-20raw	109	0.449912	0.00166944	1
XGB-20raw	110	0.448242	0.00852796	1
XGB-20raw	111	0.439715	0.0106548	1
XGB-20raw	112	0.42906	0.0139421	1
XGB-20raw	113	0.415118	0.00240409	1
XGB-20raw	114	0.412714	0.00586492	1
XGB-20raw	115	0.406849	0.00316739	1
XGB-20raw	116	0.403681	0.013905	1
XGB-20raw	117	0.389776	0.00657207	1
XGB-20raw	118	0.383204	0.0304529	1
XGB-20raw	119	0.352751	0.0029583	1
XGB-20raw	120	0.349793	0.00332722	1
XGB-20raw	121	0.346466	0.0116325	1
XGB-20raw	122	0.334833	0.00573033	1
XGB-20raw	123	0.329103	0.00183529	0
XGB-20raw	124	0.327268	0.0240305	1
XGB-20raw	125	0.303237	0.0179468	1
XGB-20raw	126	0.28529	0.00575599	1
XGB-20raw	127	0.279534	0.00378236	1
XGB-20raw	128	0.275752	0.00065574	1
XGB-20raw	129	0.275096	0.00535503	1
XGB-20raw	130	0.269741	0.0232567	1
XGB-20raw	131	0.246484	0.0153767	1
XGB-20raw	132	0.231108	0.00677958	0
XGB-20raw	133	0.224328	0.00401405	1
XGB-20raw	134	0.220314	0.0169126	1
XGB-20raw	135	0.203402	0.00122288	1
XGB-20raw	136	0.202179	0.00834493	1
XGB-20raw	137	0.193834	0.00354213	0
XGB-20raw	138	0.190292	0.00818618	1
XGB-20raw	139	0.182105	0.000379011	0
XGB-20raw	140	0.181726	0.00175752	0
XGB-20raw	141	0.179969	0.00689085	1
XGB-20raw	142	0.173078	0.00379299	0
XGB-20raw	143	0.169285	0.00439927	0
XGB-20raw	144	0.164886	0.0180657	1
XGB-20raw	145	0.14682	0.00738999	0
XGB-20raw	146	0.13943	0.0034904	0
XGB-20raw	147	0.13594	0.001807	0
XGB-20raw	148	0.134133	0.00110926	0
XGB-20raw	149	0.133023	0.000251547	0
XGB-20raw	150	0.132772	0.0141425	1
XGB-20raw	151	0.118629	0.00249675	0
XGB-20raw	152	0.116133	0.00198597	1
XGB-20raw	153	0.114147	0.00272807	0
XGB-20raw	154	0.111419	0.00317932	0
XGB-20raw	155	0.108239	0.00474373	0
XGB-20raw	156	0.103496	5.14835e-06	0
XGB-20raw	157	0.10349	0.00419922	0
XGB-20raw	158	0.0992912	0.00138377	0
XGB-20raw	159	0.0979074	0.000761688	0
XGB-20raw	160	0.0971457	0.000568554	0
XGB-20raw	161	0.0965772	0.00111317	0
XGB-20raw	162	0.095464	0.000345945	0
XGB-20raw	163	0.0951181	0.00117236	0
XGB-20raw	164	0.0939457	0.00073719	1
XGB-20raw	165	0.0932085	0.00013712	0
XGB-20raw	166	0.0930714	0.000283234	0
XGB-20raw	167	0.0927882	0.00112315	0
XGB-20raw	168	0.091665	0.000586517	0
XGB-20raw	169	0.0910785	0.000432007	0
XGB-20raw	170	0.0906465	0.000383057	0
XGB-20raw	171	0.0902634	0.00177405	0
XGB-20raw	172	0.0884894	0.000776991	0
XGB-20raw	173	0.0877124	0.000874065	0
XGB-20raw	174	0.0868383	7.79629e-05	0
XGB-20raw	175	0.0867604	0.000452749	0
XGB-20raw	176	0.0863076	0.000743747	0
XGB-20raw	177	0.0855639	4.93973e-05	0
XGB-20raw	178	0.0855145	0.00126502	0
XGB-20raw	179	0.0842494	0.000695221	0
XGB-20raw	180	0.0835542	0.000860766	0
XGB-20raw	181	0.0826935	0.000294097	1
XGB-20raw	182	0.0823994	0.000128388	0
XGB-20raw	183	0.082271	0.00216012	0
XGB-20raw	184	0.0801108	0.00220995	0
XGB-20raw	185	0.0779009	0.000756033	0
XGB-20raw	186	0.0771449	0.00196124	0
XGB-20raw	187	0.0751836	0.00110417	0
XGB-20raw	188	0.0740795	9.27672e-05	0
XGB-20raw	189	0.0739867	0.00133681	0
XGB-20raw	190	0.0726499	0.00230443	0
XGB-20raw	191	0.0703455	0.000395641	0
XGB-20raw	192	0.0699498	0.000181742	0
XGB-20raw	193	0.0697681	0.000452578	0
XGB-20raw	194	0.0693155	0.0013692	0
XGB-20raw	195	0.0679463	9.41008e-06	0
XGB-20raw	196	0.0679369	2.91318e-06	0
XGB-20raw	197	0.067934	0.000700377	0
XGB-20raw	198	0.0672336	9.0301e-06	0
XGB-20raw	199	0.0672246	0.000555985	0
XGB-20raw	200	0.0666686	0.00147454	0
XGB-24full	1	0.997316	0.00780988	1
XGB-24full	2	0.989507	0.00127494	1
XGB-24full	3	0.988232	0.00348735	1
XGB-24full	4	0.984744	0.00396866	1
XGB-24full	5	0.980776	0.000860095	1
XGB-24full	6	0.979915	0.00627941	1
XGB-24full	7	0.973636	0.020027	1
XGB-24full	8	0.953609	0.0160767	1
XGB-24full	9	0.937532	0.00106585	1
XGB-24full	10	0.936466	0.00198418	1
XGB-24full	11	0.934482	0.000984907	1
XGB-24full	12	0.933497	0.000320494	1
XGB-24full	13	0.933177	0.00386369	1
XGB-24full	14	0.929313	0.00238842	1
XGB-24full	15	0.926925	0.000169456	1
XGB-24full	16	0.926755	0.000522614	1
XGB-24full	17	0.926233	0.00482351	1
XGB-24full	18	0.921409	0.00512546	1
XGB-24full	19	0.916284	0.00921971	1
XGB-24full	20	0.907064	0.000222981	1
XGB-24full	21	0.906841	0.00172842	1
XGB-24full	22	0.905113	0.00977761	1
XGB-24full	23	0.895335	0.00939143	1
XGB-24full	24	0.885944	0.00259721	1
XGB-24full	25	0.883346	0.00925404	1
XGB-24full	26	0.874092	0.0044558	1
XGB-24full	27	0.869637	0.00317031	1
XGB-24full	28	0.866466	0.00153601	1
XGB-24full	29	0.86493	0.00137973	1
XGB-24full	30	0.86355	0.00187051	1
XGB-24full	31	0.86168	0.000544608	1
XGB-24full	32	0.861135	5.60284e-05	1
XGB-24full	33	0.861079	0.00137615	1
XGB-24full	34	0.859703	0.00355113	1
XGB-24full	35	0.856152	0.00437808	1
XGB-24full	36	0.851774	0.00742108	1
XGB-24full	37	0.844353	0.00135791	1
XGB-24full	38	0.842995	0.00663388	1
XGB-24full	39	0.836361	0.00795913	1
XGB-24full	40	0.828402	0.00784159	1
XGB-24full	41	0.82056	0.00344056	1
XGB-24full	42	0.81712	0.00588185	1
XGB-24full	43	0.811238	0.00261688	1
XGB-24full	44	0.808621	0.00619924	1
XGB-24full	45	0.802422	0.00501186	1
XGB-24full	46	0.79741	0.00108534	1
XGB-24full	47	0.796325	0.00156176	1
XGB-24full	48	0.794763	0.0051412	1
XGB-24full	49	0.789622	0.00305068	1
XGB-24full	50	0.786571	0.0133174	1
XGB-24full	51	0.773254	0.0219451	1
XGB-24full	52	0.751309	8.23736e-05	1
XGB-24full	53	0.751226	8.52346e-06	1
XGB-24full	54	0.751218	0.00288266	1
XGB-24full	55	0.748335	0.000305057	1
XGB-24full	56	0.74803	0.00216812	1
XGB-24full	57	0.745862	0.00582403	1
XGB-24full	58	0.740038	0.004134	1
XGB-24full	59	0.735904	0.00309122	1
XGB-24full	60	0.732813	0.000263929	1
XGB-24full	61	0.732549	0.00368369	1
XGB-24full	62	0.728865	0.0202513	1
XGB-24full	63	0.708614	0.0082562	1
XGB-24full	64	0.700357	0.000698984	1
XGB-24full	65	0.699658	0.00127971	1
XGB-24full	66	0.698379	0.0065307	1
XGB-24full	67	0.691848	0.000199616	1
XGB-24full	68	0.691648	0.0049904	1
XGB-24full	69	0.686658	0.00120968	1
XGB-24full	70	0.685448	0.000102639	1
XGB-24full	71	0.685346	0.00339383	1
XGB-24full	72	0.681952	0.00029999	1
XGB-24full	73	0.681652	0.00723135	1
XGB-24full	74	0.674421	0.00489068	1
XGB-24full	75	0.66953	0.00127214	1
XGB-24full	76	0.668258	0.00413126	1
XGB-24full	77	0.664126	0.0028227	1
XGB-24full	78	0.661304	0.00991929	1
XGB-24full	79	0.651384	0.00958669	1
XGB-24full	80	0.641798	0.000822783	1
XGB-24full	81	0.640975	0.00447309	1
XGB-24full	82	0.636502	0.0169095	1
XGB-24full	83	0.619592	0.00118345	1
XGB-24full	84	0.618409	0.00938541	1
XGB-24full	85	0.609024	0.00782204	1
XGB-24full	86	0.601202	0.00613528	1
XGB-24full	87	0.595066	0.00331765	1
XGB-24full	88	0.591749	0.00990057	1
XGB-24full	89	0.581848	0.00145769	1
XGB-24full	90	0.58039	0.00051254	1
XGB-24full	91	0.579878	0.00603461	1
XGB-24full	92	0.573843	0.00162965	1
XGB-24full	93	0.572214	0.00274432	1
XGB-24full	94	0.569469	0.00805867	1
XGB-24full	95	0.561411	0.00199139	1
XGB-24full	96	0.559419	0.00399518	1
XGB-24full	97	0.555424	0.00390083	1
XGB-24full	98	0.551523	0.00332737	1
XGB-24full	99	0.548196	0.00282949	1
XGB-24full	100	0.545366	0.00149018	1
XGB-24full	101	0.543876	0.00082165	1
XGB-24full	102	0.543054	0.0131633	1
XGB-24full	103	0.529891	0.00218916	1
XGB-24full	104	0.527702	0.00736821	1
XGB-24full	105	0.520334	0.00553221	1
XGB-24full	106	0.514802	0.00171882	1
XGB-24full	107	0.513083	0.0121994	1
XGB-24full	108	0.500883	0.00329554	1
XGB-24full	109	0.497588	0.00486839	1
XGB-24full	110	0.492719	0.00106987	1
XGB-24full	111	0.49165	0.00493154	1
XGB-24full	112	0.486718	0.0111691	1
XGB-24full	113	0.475549	0.00409153	1
XGB-24full	114	0.471457	0.0006001	1
XGB-24full	115	0.470857	0.00322405	1
XGB-24full	116	0.467633	0.00218949	1
XGB-24full	117	0.465444	0.0065397	1
XGB-24full	118	0.458904	0.000113964	1
XGB-24full	119	0.45879	0.00813079	1
XGB-24full	120	0.450659	0.0246953	1
XGB-24full	121	0.425964	0.0132942	1
XGB-24full	122	0.41267	0.000950992	1
XGB-24full	123	0.411719	0.00838649	1
XGB-24full	124	0.403332	0.0112121	1
XGB-24full	125	0.39212	0.0207789	1
XGB-24full	126	0.371341	0.00180724	1
XGB-24full	127	0.369534	0.00789979	1
XGB-24full	128	0.361634	0.0318038	0
XGB-24full	129	0.32983	0.000205755	1
XGB-24full	130	0.329625	0.0223441	1
XGB-24full	131	0.30728	0.0211646	1
XGB-24full	132	0.286116	0.00367516	1
XGB-24full	133	0.282441	0.00489268	1
XGB-24full	134	0.277548	0.0121048	0
XGB-24full	135	0.265443	0.00280252	1
XGB-24full	136	0.262641	0.0189764	1
XGB-24full	137	0.243664	0.000789911	1
XGB-24full	138	0.242874	0.000840947	0
XGB-24full	139	0.242033	0.0143516	1
XGB-24full	140	0.227682	0.00321779	1
XGB-24full	141	0.224464	0.0118091	0
XGB-24full	142	0.212655	0.00761378	0
XGB-24full	143	0.205041	0.00950679	1
XGB-24full	144	0.195534	0.00402349	0
XGB-24full	145	0.191511	0.033011	0
XGB-24full	146	0.1585	0.00178625	0
XGB-24full	147	0.156714	0.0013846	1
XGB-24full	148	0.155329	0.00143388	0
XGB-24full	149	0.153895	0.00486307	0
XGB-24full	150	0.149032	0.00994174	1
XGB-24full	151	0.13909	0.00088501	0
XGB-24full	152	0.138205	0.000979155	0
XGB-24full	153	0.137226	0.00267771	0
XGB-24full	154	0.134548	0.00251734	0
XGB-24full	155	0.132031	0.0112669	1
XGB-24full	156	0.120764	0.00641857	0
XGB-24full	157	0.114346	0.000499398	0
XGB-24full	158	0.113846	0.000758424	0
XGB-24full	159	0.113088	6.72862e-05	0
XGB-24full	160	0.11302	0.00278161	0
XGB-24full	161	0.110239	0.00366136	0
XGB-24full	162	0.106578	0.00271545	0
XGB-24full	163	0.103862	0.00167187	0
XGB-24full	164	0.10219	0.000484124	0
XGB-24full	165	0.101706	0.000269808	0
XGB-24full	166	0.101436	3.86685e-06	0
XGB-24full	167	0.101432	0.00320024	0
XGB-24full	168	0.0982321	2.6308e-05	0
XGB-24full	169	0.0982058	0.00397019	1
XGB-24full	170	0.0942356	0.00196413	0
XGB-24full	171	0.0922715	0.00236927	0
XGB-24full	172	0.0899022	0.000446767	0
XGB-24full	173	0.0894555	0.000732712	0
XGB-24full	174	0.0887228	0.000656717	0
XGB-24full	175	0.088066	1.17943e-05	0
XGB-24full	176	0.0880543	0.000573225	0
XGB-24full	177	0.087481	0.000628926	0
XGB-24full	178	0.0868521	6.66678e-05	0
XGB-24full	179	0.0867854	0.00102691	0
XGB-24full	180	0.0857585	0.00157952	0
XGB-24full	181	0.084179	0.0039001	0
XGB-24full	182	0.0802789	0.000196002	0
XGB-24full	183	0.0800829	0.000329129	1
XGB-24full	184	0.0797538	0.000121079	0
XGB-24full	185	0.0796327	0.000685185	0
XGB-24full	186	0.0789475	0.00130033	0
XGB-24full	187	0.0776472	0.000653252	0
XGB-24full	188	0.0769939	0.00109655	0
XGB-24full	189	0.0758974	0.00168876	0
XGB-24full	190	0.0742086	0.000544451	0
XGB-24full	191	0.0736642	0.00280996	0
XGB-24full	192	0.0708542	0.00120936	0
XGB-24full	193	0.0696448	0.000271231	0
XGB-24full	194	0.0693736	2.9549e-05	0
XGB-24full	195	0.0693441	0.000805512	0
XGB-24full	196	0.0685385	0.00123654	0
XGB-24full	197	0.067302	0.0004199	0
XGB-24full	198	0.0668821	0.000230588	0
XGB-24full	199	0.0666515	0.00041683	0
XGB-24full	200	0.0662347	0.000925347	0
