method	field	n_fws_reporting	n_distinct_values	cross_fw_pairs	cross_fw_disagree_pairs	disagree_rate	per_fw_values
dapo	backend	2	2	1	1	1.0	"{""colab-open"": [""hf_transformers (single-process, open backward pass)""], ""tinker"": [""tinker-managed sampler""]}"
dapo	clip_eps_high	2	1	1	0	0.0	"{""colab-open"": [0.28], ""tinker"": [0.28]}"
dapo	clip_eps_low	2	1	1	0	0.0	"{""colab-open"": [0.2], ""tinker"": [0.2]}"
dapo	description	2	2	1	1	1.0	"{""colab-open"": [""held-out arithmetic prompts disjoint from the reward environment; held-out delta reported per arm""], ""tinker"": [""GSM8K test split (benchmark protocol)""]}"
dapo	disjoint_from_reward_env	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
dapo	importance_ratio_level	1	1	0	0	0.0	"{""colab-open"": [""token""]}"
dapo	initial_g	1	1	0	0	0.0	"{""colab-open"": [4]}"
dapo	kl_beta	1	1	0	0	0.0	"{""colab-open"": [0.0]}"
dapo	kl_estimator	1	1	0	0	0.0	"{""colab-open"": [""none""]}"
dapo	length_normalization	1	1	0	0	0.0	"{""colab-open"": [true]}"
dapo	parser_robustness_probe	1	1	0	0	0.0	"{""colab-open"": [false]}"
dapo	per_step_gu	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
dapo	per_step_zvf	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
dapo	performed	1	1	0	0	0.0	"{""colab-open"": [false]}"
dapo	precision	1	1	0	0	0.0	"{""tinker"": [""bf16""]}"
dapo	reference_policy	2	2	1	1	1.0	"{""colab-open"": [false], ""tinker"": [true]}"
dapo	reward_shaping_type	2	1	1	0	0.0	"{""colab-open"": [""overlong_penalty""], ""tinker"": [""overlong_penalty""]}"
dapo	sampling_dynamic_filter	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
dapo	schedule	2	1	1	0	0.0	"{""colab-open"": [""fixed""], ""tinker"": [""fixed""]}"
dapo	source	2	2	1	1	1.0	"{""colab-open"": [""zvf-triage callback (live per-step ZVF/GU)""], ""tinker"": [""benchmark harness on per-group rewards""]}"
dapo	temperature	2	1	1	0	0.0	"{""colab-open"": [0.7], ""tinker"": [0.7]}"
dapo	token_aggregation	2	1	1	0	0.0	"{""colab-open"": [""token""], ""tinker"": [""token""]}"
dapo	token_mask	1	1	0	0	0.0	"{""colab-open"": [""completion-only""]}"
dapo	top_p	2	1	1	0	0.0	"{""colab-open"": [0.95], ""tinker"": [0.95]}"
drgrpo	adaptation_rule	2	1	1	0	0.0	"{""colab-open"": [""none""], ""tinker"": [""none""]}"
drgrpo	advantage_normalization	2	1	1	0	0.0	"{""colab-open"": [""none""], ""tinker"": [""none""]}"
drgrpo	backend	2	2	1	1	1.0	"{""colab-open"": [""hf_transformers (single-process, open backward pass)""], ""tinker"": [""tinker-managed sampler""]}"
drgrpo	clip_eps_high	1	1	0	0	0.0	"{""colab-open"": [0.2]}"
drgrpo	clip_eps_low	1	1	0	0	0.0	"{""colab-open"": [0.2]}"
drgrpo	description	2	2	1	1	1.0	"{""colab-open"": [""held-out arithmetic prompts disjoint from the reward environment; held-out delta reported per arm""], ""tinker"": [""GSM8K test split (benchmark protocol)""]}"
drgrpo	disjoint_from_reward_env	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
drgrpo	importance_ratio_level	1	1	0	0	0.0	"{""colab-open"": [""token""]}"
drgrpo	initial_g	1	1	0	0	0.0	"{""colab-open"": [4]}"
drgrpo	kl_beta	1	1	0	0	0.0	"{""colab-open"": [0.0]}"
drgrpo	kl_estimator	1	1	0	0	0.0	"{""colab-open"": [""none""]}"
drgrpo	length_normalization	2	1	1	0	0.0	"{""colab-open"": [false], ""tinker"": [false]}"
drgrpo	parser_robustness_probe	1	1	0	0	0.0	"{""colab-open"": [false]}"
drgrpo	per_step_gu	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
drgrpo	per_step_zvf	2	1	1	0	0.0	"{""colab-open"": [true], ""tinker"": [true]}"
drgrpo	performed	1	1	0	0	0.0	"{""colab-open"": [false]}"
drgrpo	precision	1	1	0	0	0.0	"{""tinker"": [""bf16""]}"
drgrpo	reference_policy	2	2	1	1	1.0	"{""colab-open"": [false], ""tinker"": [true]}"
drgrpo	schedule	2	1	1	0	0.0	"{""colab-open"": [""fixed""], ""tinker"": [""fixed""]}"
drgrpo	source	2	2	1	1	1.0	"{""colab-open"": [""zvf-triage callback (live per-step ZVF/GU)""], ""tinker"": [""benchmark harness on per-group rewards""]}"
drgrpo	temperature	2	1	1	0	0.0	"{""colab-open"": [0.7], ""tinker"": [0.7]}"
drgrpo	token_mask	1	1	0	0	0.0	"{""colab-open"": [""completion-only""]}"
drgrpo	top_p	2	1	1	0	0.0	"{""colab-open"": [0.95], ""tinker"": [0.95]}"
gift	adaptation_rule	1	1	0	0	0.0	"{""tinker"": [""none""]}"
gift	advantage_normalization	1	1	0	0	0.0	"{""tinker"": [""std""]}"
gift	backend	2	2	1	1	1.0	"{""tinker"": [""tinker-managed sampler""], ""zvf130"": [""shared zvf-iter130 batch harness (Tinker)""]}"
gift	description	2	2	1	1	1.0	"{""tinker"": [""GSM8K test split (benchmark protocol)""], ""zvf130"": [""GSM8K canonical 16-prompt fixed eval""]}"
gift	disjoint_from_reward_env	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
gift	importance_ratio_level	1	1	0	0	0.0	"{""tinker"": [""sequence""]}"
gift	initial_g	1	1	0	0	0.0	"{""tinker"": [8]}"
gift	per_step_gu	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
gift	per_step_zvf	2	1	1	0	0.0	"{""tinker"": [true], ""zvf130"": [true]}"
gift	precision	2	1	1	0	0.0	"{""tinker"": [""bf16""], ""zvf130"": [""bf16""]}"
gift	reference_policy	1	1	0	0	0.0	"{""tinker"": [true]}"
gift	reward_shaping_type	1	1	0	0	0.0	"{""tinker"": [""gamma_baseline""]}"
gift	schedule	1	1	0	0	0.0	"{""tinker"": [""fixed""]}"
gift	source	2	2	1	1	1.0	"{""tinker"": [""benchmark harness on per-group rewards""], ""zvf130"": [""zvf_iter130_method_risk.tsv (per-step file zvf_iter130/*)""]}"
gift	temperature	2	1	1	0	0.0	"{""tinker"": [0.7], ""zvf130"": [0.7]}"
gift	top_p	2	1	1	0	0.0	"{""tinker"": [0.95], ""zvf130"": [0.95]}"
grpo	adaptation_rule	5	2	10	4	0.4	"{""colab-open"": [""none"", ""zvf-triage callback escalates G 4->6->8 on ZVF spikes (live)""], ""openrlhf"": [""none""], ""tinker"": [""none""], ""trl"": [""none""], ""verl"": [""none""]}"
grpo	advantage_normalization	1	1	0	0	0.0	"{""colab-open"": [""std""]}"
grpo	backend	6	6	15	15	1.0	"{""colab-open"": [""hf_transformers (single-process, open backward pass)""], ""openrlhf"": [""vllm (separate-process reference model)""], ""tinker"": [""tinker-managed sampler""], ""trl"": [""hf_transformers (on-device reference model)""], ""verl"": [""vllm (sharded Ray reference placement)""], ""zvf130"": [""shared zvf-iter130 batch harness (Tinker)""]}"
grpo	clip_eps_high	1	1	0	0	0.0	"{""colab-open"": [0.2]}"
grpo	clip_eps_low	1	1	0	0	0.0	"{""colab-open"": [0.2]}"
grpo	description	6	4	15	12	0.8	"{""colab-open"": [""held-out arithmetic prompts disjoint from the reward environment; held-out delta reported per arm""], ""openrlhf"": [""GSM8K test split, disjoint from the train prompts that back the reward environment (benchmark protocol)""], ""tinker"": [""GSM8K test split (benchmark protocol)"", ""GSM8K test split, disjoint from the train prompts that back the reward environment (benchmark protocol)""], ""trl"": [""GSM8K test split, disjoint from the train prompts that back the reward environment (benchmark protocol)""], ""verl"": [""GSM8K test split, disjoint from the train prompts that back the reward environment (benchmark protocol)""], ""zvf130"": [""GSM8K canonical 16-prompt fixed eval""]}"
grpo	disjoint_from_reward_env	6	1	15	0	0.0	"{""colab-open"": [true], ""openrlhf"": [true], ""tinker"": [true], ""trl"": [true], ""verl"": [true], ""zvf130"": [true]}"
grpo	importance_ratio_level	4	2	6	3	0.5	"{""colab-open"": [""token""], ""openrlhf"": [""sequence""], ""trl"": [""token""], ""verl"": [""token""]}"
grpo	initial_g	5	2	10	4	0.4	"{""colab-open"": [4], ""openrlhf"": [8], ""tinker"": [8], ""trl"": [8], ""verl"": [8]}"
grpo	kl_beta	4	3	6	5	0.8333	"{""colab-open"": [0.0], ""openrlhf"": [0.02], ""trl"": [0.04], ""verl"": [0.04]}"
grpo	kl_estimator	4	2	6	3	0.5	"{""colab-open"": [""none""], ""openrlhf"": [""low_var""], ""trl"": [""low_var""], ""verl"": [""low_var""]}"
grpo	length_normalization	1	1	0	0	0.0	"{""colab-open"": [true]}"
grpo	parser_robustness_probe	1	1	0	0	0.0	"{""colab-open"": [false]}"
grpo	per_step_gu	4	1	6	0	0.0	"{""colab-open"": [true], ""tinker"": [true], ""trl"": [true], ""zvf130"": [true]}"
grpo	per_step_zvf	4	1	6	0	0.0	"{""colab-open"": [true], ""tinker"": [true], ""trl"": [true], ""zvf130"": [true]}"
grpo	performed	1	1	0	0	0.0	"{""colab-open"": [false]}"
grpo	precision	5	1	10	0	0.0	"{""openrlhf"": [""bf16""], ""tinker"": [""bf16""], ""trl"": [""bf16""], ""verl"": [""bf16""], ""zvf130"": [""bf16""]}"
grpo	reference_policy	5	2	10	4	0.4	"{""colab-open"": [false], ""openrlhf"": [true], ""tinker"": [true], ""trl"": [true], ""verl"": [true]}"
grpo	schedule	5	2	10	4	0.4	"{""colab-open"": [""adaptive"", ""fixed""], ""openrlhf"": [""fixed""], ""tinker"": [""fixed""], ""trl"": [""fixed""], ""verl"": [""fixed""]}"
grpo	source	4	4	6	6	1.0	"{""colab-open"": [""zvf-triage callback (live per-step ZVF/GU)""], ""tinker"": [""TinkerRL-Bench harness (per-step group reward variance)"", ""benchmark harness on per-group rewards""], ""trl"": [""TinkerRL-Bench harness (per-step group reward variance)""], ""zvf130"": [""zvf_iter130_method_risk.tsv (per-step file zvf_iter130/*)""]}"
grpo	temperature	6	1	15	0	0.0	"{""colab-open"": [0.7], ""openrlhf"": [0.7], ""tinker"": [0.7], ""trl"": [0.7], ""verl"": [0.7], ""zvf130"": [0.7]}"
grpo	token_mask	1	1	0	0	0.0	"{""colab-open"": [""completion-only""]}"
grpo	top_p	6	1	15	0	0.0	"{""colab-open"": [0.95], ""openrlhf"": [0.95], ""tinker"": [0.95], ""trl"": [0.95], ""verl"": [0.95], ""zvf130"": [0.95]}"
