cell_id	model	model_family	task_slice	G	temperature	seed	reason
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s0_8cc2b60517	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s1_71e3d52d8e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G4_t1_s0_caa91dd271	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G4_t1_s1_ff3a0a545b	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G8_t1_s0_728d0003ff	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G8_t1_s1_e676402d2d	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G16_t1_s0_2c0b77fe9e	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G16_t1_s1_011737d351	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s0_5800109c8e	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s1_34ef491276	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s0_55809d6c92	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s1_2ade9b1483	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s0_9f26152a79	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s1_6c36b953aa	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G4_t1_s0_5877f73c01	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G4_t1_s1_aba0223bd1	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s0_9667c23d28	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s1_56390b6ec8	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G16_t1_s0_a9b750ae9c	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G16_t1_s1_8dd718fb2d	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s0_edc22ac646	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s1_aa338b609e	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s0_eeb030314b	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s1_635f072d0c	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s0_5791f085eb	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s1_2b59abe6ab	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s0_a581d7040f	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s1_6dcc863023	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s0_a505dba4da	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s1_e30ecef26e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s0_ef95ec7649	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s1_b17e286556	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s0_8cc2b60517	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s1_71e3d52d8e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G4_t1_s0_caa91dd271	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G4_t1_s1_ff3a0a545b	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G8_t1_s0_728d0003ff	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G8_t1_s1_e676402d2d	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G16_t1_s0_2c0b77fe9e	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G16_t1_s1_011737d351	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s0_5800109c8e	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s1_34ef491276	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s0_55809d6c92	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s1_2ade9b1483	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s0_9f26152a79	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s1_6c36b953aa	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G4_t1_s0_5877f73c01	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G4_t1_s1_aba0223bd1	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s0_9667c23d28	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s1_56390b6ec8	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G16_t1_s0_a9b750ae9c	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G16_t1_s1_8dd718fb2d	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s0_edc22ac646	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s1_aa338b609e	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s0_eeb030314b	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s1_635f072d0c	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s0_5791f085eb	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s1_2b59abe6ab	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s0_a581d7040f	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s1_6dcc863023	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s0_a505dba4da	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s1_e30ecef26e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s0_ef95ec7649	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s1_b17e286556	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s0_8cc2b60517	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s1_71e3d52d8e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s0_5800109c8e	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s1_34ef491276	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s0_55809d6c92	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s1_2ade9b1483	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s0_9f26152a79	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s1_6c36b953aa	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s0_9667c23d28	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s1_56390b6ec8	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s0_edc22ac646	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t1_s1_aa338b609e	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s0_eeb030314b	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t1_s1_635f072d0c	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s0_5791f085eb	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t1_s1_2b59abe6ab	meta-llama/Llama-3.2-3B	meta-llama/Llama-3.2-3B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s0_a581d7040f	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_humaneval_subset_G16_t1_s1_6dcc863023	Qwen/Qwen3-8B	Qwen/Qwen3-8B	humaneval_subset	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s0_a505dba4da	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G4_t1_s1_e30ecef26e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s0_ef95ec7649	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G8_t1_s1_b17e286556	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s0_8cc2b60517	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-8B_gsm8k_easy_G16_t1_s1_71e3d52d8e	Qwen/Qwen3-8B	Qwen/Qwen3-8B	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G4_t1_s0_caa91dd271	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G4_t1_s1_ff3a0a545b	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G8_t1_s0_728d0003ff	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G8_t1_s1_e676402d2d	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G16_t1_s0_2c0b77fe9e	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
openai-gpt-oss-20b_gsm8k_easy_G16_t1_s1_011737d351	openai/gpt-oss-20b	openai/gpt-oss-20b	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s0_5800109c8e	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G4_t1_s1_34ef491276	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s0_55809d6c92	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G8_t1_s1_2ade9b1483	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s0_9f26152a79	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	0	covered_by_inventory_or_zvf_audit
Qwen-Qwen3-30B-A3B-Instruct-2507_gsm8k_easy_G16_t1_s1_6c36b953aa	Qwen/Qwen3-30B-A3B-Instruct-2507	Qwen/Qwen3-30B-A3B-Instruct-2507	gsm8k_easy	16	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G4_t1_s0_5877f73c01	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	4	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G4_t1_s1_aba0223bd1	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	4	1.0	1	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s0_9667c23d28	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	0	covered_by_inventory_or_zvf_audit
nvidia-NVIDIA-Nemotron-3-Nano-30B-A3_gsm8k_easy_G8_t1_s1_56390b6ec8	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16	gsm8k_easy	8	1.0	1	covered_by_inventory_or_zvf_audit
