# Pillar 2 iter78 per-channel (AR1, CUSUM, H-run) alarm at th=0.70.
# Source: scripts/zvf_iter78.py
source	method	seed	channel	threshold	t_alarm	t_fail	lead_time	true_alarm
variance_mitigation	mcgrpo	1	h_run	0.700000	95	99	4	1
variance_mitigation	mcgrpo	2	ar1	0.700000	60	98	38	1
variance_mitigation	mcgrpo	2	cusum	0.700000	72	98	26	1
variance_mitigation	mcgrpo	2	h_run	0.700000	95	98	3	1
variance_mitigation	mcgrpo	3	ar1	0.700000	68	98	30	1
variance_mitigation	mcgrpo	3	cusum	0.700000	72	98	26	1
variance_mitigation	mcgrpo	3	h_run	0.700000	96	98	2	1
variance_mitigation	mcgrpo	4	ar1	0.700000	56	99	43	1
variance_mitigation	mcgrpo	4	cusum	0.700000	71	99	28	1
variance_mitigation	mcgrpo	4	h_run	0.700000	95	99	4	1
groupsize_zvf_sweep	groupsize	42	ar1	0.700000	5	19	14	1
groupsize_zvf_sweep	groupsize	42	cusum	0.700000	13	19	6	1
groupsize_zvf_sweep	groupsize	42	h_run	0.700000	16	19	3	1
groupsize_zvf_sweep	groupsize	123	ar1	0.700000	NA	19	NA	0
groupsize_zvf_sweep	groupsize	123	cusum	0.700000	13	19	6	1
groupsize_zvf_sweep	groupsize	123	h_run	0.700000	15	19	4	1
groupsize_zvf_sweep	groupsize	456	ar1	0.700000	17	19	2	1
groupsize_zvf_sweep	groupsize	456	cusum	0.700000	16	19	3	1
groupsize_zvf_sweep	groupsize	456	h_run	0.700000	18	19	1	1
groupsize_zvf_sweep	groupsize	42	ar1	0.700000	8	19	11	1
groupsize_zvf_sweep	groupsize	42	cusum	0.700000	10	19	9	1
groupsize_zvf_sweep	groupsize	42	h_run	0.700000	20	19	NA	0
groupsize_zvf_sweep	groupsize	123	ar1	0.700000	10	19	9	1
groupsize_zvf_sweep	groupsize	123	cusum	0.700000	10	19	9	1
groupsize_zvf_sweep	groupsize	123	h_run	0.700000	16	19	3	1
groupsize_zvf_sweep	groupsize	456	ar1	0.700000	10	19	9	1
groupsize_zvf_sweep	groupsize	456	cusum	0.700000	11	19	8	1
groupsize_zvf_sweep	groupsize	456	h_run	0.700000	16	19	3	1
groupsize_zvf_sweep	groupsize	42	ar1	0.700000	10	21	11	1
groupsize_zvf_sweep	groupsize	42	cusum	0.700000	12	21	9	1
groupsize_zvf_sweep	groupsize	42	h_run	0.700000	19	21	2	1
groupsize_zvf_sweep	groupsize	123	ar1	0.700000	13	21	8	1
groupsize_zvf_sweep	groupsize	123	cusum	0.700000	10	21	11	1
groupsize_zvf_sweep	groupsize	123	h_run	0.700000	19	21	2	1
groupsize_zvf_sweep	groupsize	456	ar1	0.700000	7	21	14	1
groupsize_zvf_sweep	groupsize	456	cusum	0.700000	11	21	10	1
groupsize_zvf_sweep	groupsize	456	h_run	0.700000	21	21	NA	0
groupsize_zvf_sweep	groupsize	42	ar1	0.700000	8	24	16	1
groupsize_zvf_sweep	groupsize	42	cusum	0.700000	13	24	11	1
groupsize_zvf_sweep	groupsize	42	h_run	0.700000	21	24	3	1
groupsize_zvf_sweep	groupsize	123	ar1	0.700000	8	23	15	1
groupsize_zvf_sweep	groupsize	123	cusum	0.700000	11	23	12	1
groupsize_zvf_sweep	groupsize	123	h_run	0.700000	21	23	2	1
groupsize_zvf_sweep	groupsize	456	ar1	0.700000	10	23	13	1
groupsize_zvf_sweep	groupsize	456	cusum	0.700000	12	23	11	1
groupsize_zvf_sweep	groupsize	456	h_run	0.700000	21	23	2	1
