model	params_B	n_steps	family	n_params	rmse_in_sample	r2_in_sample	aic	bic	loocv_rmse	loocv_mae	forecast_mae_last4	forecast_rmse_last4
DeepSeek-V3.1	685.0	20	powerlaw	2	0.136160	0.000809	-75.756843	-73.765379	0.148096	0.122582	0.093739	0.104099
DeepSeek-V3.1	685.0	20	ar1	3	0.135364	0.012461	-73.991444	-71.004247	0.147887	0.122137	0.085787	0.101813
Nemotron-120B	120.0	20	constant	1	0.244949	0.000000	-54.268214	-53.272482	0.257841	0.213158	0.250000	0.267000
Nemotron-120B	120.0	20	1seg_ols	2	0.244478	0.003838	-52.345116	-50.353652	0.278882	0.224643	0.256618	0.302391
Nemotron-120B	120.0	20	saturation	2	1.200639	-23.025567	11.314157	13.305622	1.217058	1.183037	0.974359	1.005921
Nemotron-120B	120.0	20	powerlaw	2	0.244528	0.003438	-52.337089	-50.345624	0.276646	0.224198	0.250732	0.272710
Nemotron-120B	120.0	20	ar1	3	0.244894	0.000452	-50.277265	-47.290068	0.243716	0.203849	0.254845	0.270001
Qwen3-235B-MoE	235.0	4	constant	1	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-235B-MoE	235.0	4	1seg_ols	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-235B-MoE	235.0	4	saturation	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-235B-MoE	235.0	4	powerlaw	2	nan	nan	nan	nan	nan	nan	nan	nan
Qwen3-235B-MoE	235.0	4	ar1	3	nan	nan	nan	nan	nan	nan	nan	nan
Kimi-K2-Thinking	1000.0	20	constant	1	0.170477	0.000000	-68.766132	-67.770400	0.179450	0.139474	0.062500	0.078125
Kimi-K2-Thinking	1000.0	20	1seg_ols	2	0.155238	0.170790	-70.511766	-68.520301	0.169528	0.134895	0.144301	0.154891
Kimi-K2-Thinking	1000.0	20	saturation	2	0.304603	-2.192534	-43.549830	-41.558365	0.310048	0.230670	0.063026	0.076498
Kimi-K2-Thinking	1000.0	20	powerlaw	2	0.157149	0.150253	-70.022454	-68.030990	0.170465	0.137543	0.059916	0.077150
Kimi-K2-Thinking	1000.0	20	ar1	3	0.168326	0.025077	-65.274069	-62.286872	0.180365	0.135239	0.074549	0.084030
