src	tgt	src_params_B	tgt_params_B	R_max	lambda	MAE_on_tgt	RMSE_on_tgt	diagonal
Qwen3-235B-MoE	gpt-oss-20B	235.0	20.0	1.0	0.3	0.1822	0.2566	False
Qwen3-235B-MoE	Qwen3.5-27B	235.0	27.0	1.0	0.3	0.3984	0.4216	False
Qwen3-235B-MoE	Qwen3-30B-MoE	235.0	30.0	1.0	0.3	0.2307	0.2973	False
Qwen3-235B-MoE	Qwen3-30B-MoE-Inst	235.0	30.0	1.0	0.3	0.5654	0.5818	False
Qwen3-235B-MoE	Qwen3-32B	235.0	32.0	1.0	0.3	0.2201	0.2838	False
Qwen3-235B-MoE	Nemotron-120B	235.0	120.0	1.0	0.3	0.7106	0.7498	False
Qwen3-235B-MoE	Qwen3-235B-MoE	235.0	235.0	1.0	0.3	0.4993	0.5258	True
Qwen3-235B-MoE	DeepSeek-V3.1	235.0	685.0	1.0	0.3	0.1745	0.2491	False
Qwen3-235B-MoE	Kimi-K2-Thinking	235.0	1000.0	1.0	0.3	0.2287	0.3048	False
DeepSeek-V3.1	Qwen3.5-4B	685.0	4.0	0.8438	0.3	0.2357	0.2892	False
DeepSeek-V3.1	Qwen3-8B	685.0	8.0	0.8438	0.3	0.4925	0.5292	False
DeepSeek-V3.1	Llama-3.1-8B-Instruct	685.0	8.0	0.8438	0.3	0.2004	0.2689	False
DeepSeek-V3.1	gpt-oss-20B	685.0	20.0	0.8438	0.3	0.2127	0.2438	False
DeepSeek-V3.1	Qwen3.5-27B	685.0	27.0	0.8438	0.3	0.4044	0.4103	False
DeepSeek-V3.1	Qwen3-30B-MoE	685.0	30.0	0.8438	0.3	0.1668	0.2245	False
DeepSeek-V3.1	Qwen3-30B-MoE-Inst	685.0	30.0	0.8438	0.3	0.6333	0.6438	False
DeepSeek-V3.1	Qwen3-32B	685.0	32.0	0.8438	0.3	0.1792	0.227	False
DeepSeek-V3.1	Nemotron-120B	685.0	120.0	0.8438	0.3	0.5859	0.6215	False
DeepSeek-V3.1	Qwen3-235B-MoE	685.0	235.0	0.8438	0.3	0.5776	0.5941	False
DeepSeek-V3.1	DeepSeek-V3.1	685.0	685.0	0.8438	0.3	0.1899	0.2535	True
DeepSeek-V3.1	Kimi-K2-Thinking	685.0	1000.0	0.8438	0.3	0.2277	0.3058	False
Kimi-K2-Thinking	Qwen3.5-4B	1000.0	4.0	0.85	0.3	0.2341	0.2889	False
Kimi-K2-Thinking	Qwen3-8B	1000.0	8.0	0.85	0.3	0.4978	0.5346	False
Kimi-K2-Thinking	Llama-3.1-8B-Instruct	1000.0	8.0	0.85	0.3	0.1984	0.2675	False
Kimi-K2-Thinking	gpt-oss-20B	1000.0	20.0	0.85	0.3	0.211	0.2427	False
Kimi-K2-Thinking	Qwen3.5-27B	1000.0	27.0	0.85	0.3	0.4042	0.4105	False
Kimi-K2-Thinking	Qwen3-30B-MoE	1000.0	30.0	0.85	0.3	0.1691	0.2272	False
Kimi-K2-Thinking	Qwen3-30B-MoE-Inst	1000.0	30.0	0.85	0.3	0.6306	0.6412	False
Kimi-K2-Thinking	Qwen3-32B	1000.0	32.0	0.85	0.3	0.1809	0.2291	False
Kimi-K2-Thinking	Nemotron-120B	1000.0	120.0	0.85	0.3	0.5909	0.6265	False
Kimi-K2-Thinking	Qwen3-235B-MoE	1000.0	235.0	0.85	0.3	0.5744	0.5913	False
Kimi-K2-Thinking	DeepSeek-V3.1	1000.0	685.0	0.85	0.3	0.1875	0.2518	False
Kimi-K2-Thinking	Kimi-K2-Thinking	1000.0	1000.0	0.85	0.3	0.2254	0.3046	True
