source	project	run_id	model	task	algo	G	steps	created	headline_metric
tinker	tinker	8c0018a3-b25b-5252-bf6a-e07b28203cd4:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:34:22.839659+00:00	
tinker	tinker	0922e77d-759d-5a2d-8602-56ee8c31cf72:train:4	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:29:03.311940+00:00	
tinker	tinker	49b99db4-a762-510b-a5ee-0a04d543113b:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:28:57.458723+00:00	
tinker	tinker	0922e77d-759d-5a2d-8602-56ee8c31cf72:train:3	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:28:53.212022+00:00	
tinker	tinker	d0b02522-7455-520e-974d-808b258aa0ba:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:33:50.338888+00:00	
tinker	tinker	a9284595-60f4-5315-a3ee-81e3c1e3a2e0:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:28:12.810941+00:00	
tinker	tinker	0922e77d-759d-5a2d-8602-56ee8c31cf72:train:2	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:28:26.219511+00:00	
tinker	tinker	a9284595-60f4-5315-a3ee-81e3c1e3a2e0:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:27:59.271618+00:00	
tinker	tinker	422f3dfe-daaa-5d30-93fd-ec0eee729bb1:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:27:48.660818+00:00	
tinker	tinker	0922e77d-759d-5a2d-8602-56ee8c31cf72:train:1	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:27:53.600898+00:00	
tinker	tinker	0922e77d-759d-5a2d-8602-56ee8c31cf72:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-07-04 09:27:21.156013+00:00	
tinker	tinker	83308b57-05ed-5a56-b067-c8f038e7a6ee:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-26 06:19:50.087134+00:00	
tinker	tinker	6c193192-ca79-5e92-a2c2-fed0f1084bd2:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-26 04:47:03.811887+00:00	
tinker	tinker	5b00afdf-934c-5e54-88af-001bed1311ee:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-26 04:43:17.984732+00:00	
tinker	tinker	8df5a7e0-7899-5acd-8152-36fd5dad41c1:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:42:06.230957+00:00	
tinker	tinker	01c8de98-c397-5459-85b9-36c06980b3ef:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:36:58.879054+00:00	
tinker	tinker	d779d57c-0457-5dc9-b1a9-85d9785d657b:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:29:19.117832+00:00	
tinker	tinker	8e08e377-f2f6-5d24-b48e-c276ae4ec773:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:24:06.933555+00:00	
tinker	tinker	f2ba763e-915f-5e92-964c-ac7e8114a079:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:18:41.120482+00:00	
tinker	tinker	4c6556f4-81fd-5e3a-8514-984ea9dbe718:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:13:31.651896+00:00	
tinker	tinker	22ec613a-4879-53de-909d-ea1bc9d92a25:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:08:16.268847+00:00	
tinker	tinker	41e16d1f-2b6a-5c5b-a3da-c9bbe1637508:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 07:03:06.671435+00:00	
tinker	tinker	2781cc05-097a-5006-a389-3703828becc2:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 06:58:04.811171+00:00	
tinker	tinker	e37ef832-d9da-595c-a1df-fa0b953ed025:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 06:52:14.490797+00:00	
tinker	tinker	fae28299-45a5-53d9-8d09-34d4e9edacf0:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 06:33:30.597897+00:00	
tinker	tinker	b83ff41b-ae67-5e27-abe9-1a26ecce7171:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 06:27:58.672876+00:00	
tinker	tinker	543654e2-9e77-5a1c-b24a-23cb21b10918:train:0	Qwen/Qwen3.5-4B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-21 06:20:35.371507+00:00	
tinker	tinker	2d96523c-e5bf-5332-b8d6-a72f52de333c:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 19:25:45.283398+00:00	
tinker	tinker	1e2d6706-c61a-5fae-972c-ed06fa701a18:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 19:13:55.776536+00:00	
tinker	tinker	2828c545-040b-5105-99c7-e274bde7cf8f:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 19:02:16.147657+00:00	
tinker	tinker	d6ea2a4c-1681-5e06-aeaa-e3e240dfe0e2:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 18:50:40.546701+00:00	
tinker	tinker	419ba5a1-716a-5033-8ec8-9f3c40c01709:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 18:38:48.634353+00:00	
tinker	tinker	210f18c4-9977-5b5c-8e81-299d0de74246:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 18:26:36.070854+00:00	
tinker	tinker	4fef3fd8-7a4e-549b-8fe7-13b774bf54d0:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 18:14:49.577195+00:00	
tinker	tinker	1ec785d1-65f4-511b-8d4f-691861367fcb:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 18:02:59.559846+00:00	
tinker	tinker	0b2bf93d-1e41-5def-8cd1-ed16627f18da:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 17:51:06.606398+00:00	
tinker	tinker	e827ab96-eb0a-5e3e-acf3-13bf6ab4308a:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 17:38:52.644820+00:00	
tinker	tinker	f904a9fe-f663-544b-8ce1-b488623cd758:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 17:26:24.025008+00:00	
tinker	tinker	a2c3d718-61cb-5b27-a3bf-4a541f3f2ea0:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 17:14:17.162418+00:00	
tinker	tinker	59dcc8cb-88dc-5dd7-87af-296f5e6d2de8:train:0	Qwen/Qwen3-8B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-14 17:01:04.613902+00:00	
tinker	tinker	ba1cf6b0-2636-567c-ac0a-5ec3739afbd6:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:32:17.535872+00:00	
tinker	tinker	3521a53b-68a5-5f9a-9b67-3a0a56db7ee7:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:32:03.997225+00:00	
tinker	tinker	acccf1d4-aeb7-5894-8518-94aabd2fdbe1:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:53.778163+00:00	
tinker	tinker	7a261028-3fa5-5f0b-96ab-6b6869796743:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:41.697763+00:00	
tinker	tinker	85767ab0-a686-57e2-a492-2ea300e45ba3:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:13.775681+00:00	
tinker	tinker	4ef4ed82-47f1-5cf6-97b7-f10b82a2ea03:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:06.100038+00:00	
tinker	tinker	a7496647-20a9-5bef-ac07-66a732b5f1b6:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:02.446483+00:00	
tinker	tinker	c214cf82-fa38-5254-904c-d0293c7225d3:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:05.461924+00:00	
tinker	tinker	a7afeb29-fd49-5ed5-ae8b-c1c153b906f4:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:31:01.986136+00:00	
tinker	tinker	2664ad45-c774-537f-948b-2cc643d82d9f:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:30:50.340216+00:00	
tinker	tinker	53e629a4-d2e5-51e9-b2f7-8c3622d85c27:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:30:32.717080+00:00	
tinker	tinker	6b7ca393-450c-5f76-963c-fb3bdc984eb1:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:30:23.023543+00:00	
tinker	tinker	f8fbbd72-f7c3-570d-b785-184b5bf329de:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:30:08.301881+00:00	
tinker	tinker	203a0dbe-37b7-580e-bece-3302c1e51d93:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:58.916900+00:00	
tinker	tinker	6f0ff343-eaf9-5c45-92fb-8881b3f41efa:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:52.103467+00:00	
tinker	tinker	5146d9d7-1faa-5161-8e05-9e245affdad4:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:46.305511+00:00	
tinker	tinker	3a54e703-ffbd-5b94-a38f-c2ef8c46f0dc:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:44.193597+00:00	
tinker	tinker	44291f71-e0fe-5dbd-b8b7-76874ebbac31:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:56.147545+00:00	
tinker	tinker	e21cece2-434e-52d6-9398-ec8814a15058:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:36.938245+00:00	
tinker	tinker	1074fc30-af98-5535-be06-5bfd7c3f0e2e:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:03.206653+00:00	
tinker	tinker	50837d8f-c150-5489-8815-8d01be92947c:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:43.103171+00:00	
tinker	tinker	1ddb6529-7d5b-5983-b783-2cf5caf18574:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:29:00.058598+00:00	
tinker	tinker	19c04cf7-fab2-5b7e-bc11-34780f94936a:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:38.159176+00:00	
tinker	tinker	cea7e254-1749-5aa2-9eae-f4876faaf609:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:51.762215+00:00	
tinker	tinker	01b47037-fb76-55c5-9375-0639be642f2b:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:44.027260+00:00	
tinker	tinker	564fcc81-e912-50ad-9648-953463f96831:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:27.392003+00:00	
tinker	tinker	f3f1443b-0dda-5de7-b4d4-a328ce125e59:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:21.842177+00:00	
tinker	tinker	8148fe3c-f52a-5875-aacc-da3d6619f29b:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:28:04.463084+00:00	
tinker	tinker	7bb4e241-80e2-5f85-80f2-9868a8c743bc:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:37.093168+00:00	
tinker	tinker	5d802499-8379-5e3d-bd49-a88af71c3706:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:33.113960+00:00	
tinker	tinker	a544af52-31e8-5a19-8391-cc9cbb592482:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:33.627216+00:00	
tinker	tinker	72a4a872-12e8-5598-a7f1-cd52ab8aca03:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:37.821765+00:00	
tinker	tinker	5db50e23-915c-52f7-bc0a-785fb5384e85:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:35.346907+00:00	
tinker	tinker	7cea025c-a6ff-5b4a-a9f5-20b663e7e4a0:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:33.174168+00:00	
tinker	tinker	59dffa66-ab91-5f44-bf28-83f0d7e1c181:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:08.487366+00:00	
tinker	tinker	e5bbd1e0-cf2b-545c-b247-03cd9f660847:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:27:02.682022+00:00	
tinker	tinker	9bd287f3-5210-5639-b655-5dded9431b4c:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:44.987630+00:00	
tinker	tinker	eca9d27d-250d-5aff-8c15-b5e2864e30d3:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:21.630568+00:00	
tinker	tinker	d3a25ff7-b64d-549e-9a0a-26e1a66659eb:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:26.853179+00:00	
tinker	tinker	00c9682a-e900-57a0-9dfd-abcc62df7fc7:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:37.338676+00:00	
tinker	tinker	0f3327d4-8636-5afb-88b7-a371a1970361:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:17.562360+00:00	
tinker	tinker	738b2253-6c73-54fa-850b-c27520693375:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:27.564466+00:00	
tinker	tinker	a5e7a715-a7e3-507a-982d-aac7c6effb6f:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:26:11.374896+00:00	
tinker	tinker	1b6d9636-7b61-51c7-92db-cd4cdc88c3d4:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:48.833149+00:00	
tinker	tinker	2086144e-419e-5c46-a3d1-5f41810b73e2:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:22.192078+00:00	
tinker	tinker	616b3ed1-80c3-5a7d-b6b8-6273f5d05817:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:32.430501+00:00	
tinker	tinker	9e3ed484-ca01-519a-b03d-0e1cefb5818b:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:07.057440+00:00	
tinker	tinker	2a2d7d59-3e70-5547-b907-56fa0f0b4174:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:30.130299+00:00	
tinker	tinker	3bd33f83-3e8f-523c-98b7-849d2c59a765:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:18.087923+00:00	
tinker	tinker	fd2ccfac-33db-57c7-9686-2275fd2c018a:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:25:13.229903+00:00	
tinker	tinker	88d42041-d309-5a70-80d5-c68ec8d666a7:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:51.215130+00:00	
tinker	tinker	aab3f5ea-e15a-5b84-8c10-986f25d43d13:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:44.065702+00:00	
tinker	tinker	578a4f60-5ce4-5156-9962-46d1cc5927a8:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:16.246996+00:00	
tinker	tinker	06ea0714-a2e2-59a8-a8e2-013a237ba0cc:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:27.401067+00:00	
tinker	tinker	6a062e97-2c03-5cc8-85d1-5ddbde0af602:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:21.135446+00:00	
tinker	tinker	c1900b96-19a5-58ee-bbd8-279b580e8813:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:10.557412+00:00	
tinker	tinker	ace3d86e-920c-5e2e-be0b-1e7b894163fb:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:05.094440+00:00	
tinker	tinker	136cdd3f-cd21-5b45-af35-34f9bfbcb84d:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:24:06.098156+00:00	
tinker	tinker	31230f76-1d80-5b41-9877-6a5ac09de003:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:33.065242+00:00	
tinker	tinker	8d4cd45e-e08a-5ccb-ace3-a3e8b3372e2b:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:39.047168+00:00	
tinker	tinker	b377ff68-ce4a-5def-8f31-5b67184c2cea:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:19.775709+00:00	
tinker	tinker	84ac2a16-b454-554c-b69c-4de085872b90:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:13.409629+00:00	
tinker	tinker	303702af-fed2-5879-a02d-9c94fb782d2d:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:15.139184+00:00	
tinker	tinker	beec502f-44d3-5f99-9a78-0b80618991da:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:01.624395+00:00	
tinker	tinker	781b623a-f0b4-5b27-a41f-b3a5fd425acc:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:22:51.263124+00:00	
tinker	tinker	6ab1a164-fc57-578e-851f-a9edb849dafc:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:23:06.490093+00:00	
tinker	tinker	a1bcc681-03cd-51b4-9afc-ae4414ec9b2e:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:22:27.154700+00:00	
tinker	tinker	1010b327-a554-5bbe-a019-b37cce912cc0:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:22:12.200255+00:00	
tinker	tinker	5bdb615e-1fec-57b7-8dfc-909ca38e8502:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:22:29.144311+00:00	
tinker	tinker	6fb042c9-29a3-59e9-a6d9-c07db28e29c5:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:22:07.476839+00:00	
tinker	tinker	5fa2e260-2494-55ef-bb85-7ac1e91ce46d:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:45.400028+00:00	
tinker	tinker	f09c287e-efcd-5bd1-9952-8bf2e128c8f5:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:44.292019+00:00	
tinker	tinker	d8aeb4b7-f102-55da-ba39-a36eb188c0aa:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:54.707036+00:00	
tinker	tinker	3517b851-c2cc-5769-9179-77c4d27eed40:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:46.821472+00:00	
tinker	tinker	71b6eeaf-05c7-5599-b815-3c5540d0ac8a:train:0	meta-llama/Llama-3.2-3B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:12.698659+00:00	
tinker	tinker	c30373e2-65f1-5c70-8107-31a67fdf6032:train:0	Qwen/Qwen3-4B-Instruct-2507	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:17.141606+00:00	
tinker	tinker	2eaeb1f5-75dc-5f09-911d-ffe0409969ad:train:0	meta-llama/Llama-3.2-1B	UNKNOWN	UNKNOWN	UNKNOWN	UNKNOWN	2026-06-07 06:21:03.896258+00:00	
