method	seed	failure_label	failure_bin	mean_zvf	lag1_zvf_rolling_w15	slope	G	p_proxy	zvf_iid_at_p	delta_zvf	risk_mag_v130	risk_mag	risk_csd	risk_drift	risk_gsize	risk_delta	zvf_risk3	zvf_risk3_max	zvf_risk5	zvf_risk5_max
scaling_law_Qwen3.5-4B	agg	collapse	1	0.95	0.85	0.015	1	-88.7534	1.0	-0.050000000000000044	0.019840305734077517	0.019840305734077517	0.9820137900379085	0.9644288107273639	0.02595988567493582	0.3775406687981453	0.6898447488846503	0.9820137900379085	0.6305826647232441	0.9820137900379085
scafgrpo	3	plateau	0	0.3216	0.0102	0.001581	8	0.4073	0.015986664151871804	0.3056133358481282	0.46764527359127195	0.46764527359127195	0.012152421052618493	0.32613904116976794	0.08494656894307347	0.9550465837300974	0.2115976008376444	0.46764527359127195	0.2710527508671249	0.9550465837300974
scafgrpo	4	plateau	0	0.3208	0.106	0.002297	8	0.4093	0.015610639568711249	0.30518936043128875	0.4688404321319602	0.4688404321319602	0.031068484159667398	0.3749825682322257	0.08494656894307347	0.9548642084513369	0.2311828853658669	0.4688404321319602	0.28717206043196164	0.9548642084513369
scafgrpo	0	plateau	0	0.3151	-0.1721	0.00243	8	0.4082	0.01581613470422448	0.2992838652957755	0.4773654805726128	0.4773654805726128	0.00198331560857945	0.38437958434641306	0.08494656894307347	0.9522495505060955	0.2210772188453562	0.4773654805726128	0.27736308331673915	0.9522495505060955
scafgrpo	2	plateau	0	0.3131	-0.07	0.0012	8	0.4094	0.015592117136288084	0.2975078828637119	0.48036011016352737	0.48036011016352737	0.005486298899450404	0.3015347839974612	0.08494656894307347	0.9514354881353744	0.20715813929827565	0.48036011016352737	0.2671799569059448	0.9514354881353744
scafgrpo	1	plateau	0	0.3126	0.2102	0.001909	8	0.4099	0.015499900604966152	0.29710009939503385	0.48110899655018263	0.48110899655018263	0.08332533368784692	0.3481230064042842	0.08494656894307347	0.951246720468717	0.2556199670898351	0.48110899655018263	0.30936410075174475	0.951246720468717
ngrpo	0	plateau	0	0.3036	0.4109	0.002063	8	0.3864	0.020591691230931995	0.28300830876906796	0.49460020994220494	0.49460020994220494	0.40347659425732124	0.3586795229751724	0.08494656894307347	0.9442799739168836	0.4218542647063566	0.49460020994220494	0.4576917741864637	0.9442799739168836
ngrpo	1	plateau	0	0.302	0.3844	0.002173	8	0.3879	0.02021769378672741	0.2817823062132726	0.49700003599948167	0.49700003599948167	0.34163872763878583	0.3663053357522265	0.08494656894307347	0.9436313842671159	0.3931804417696827	0.49700003599948167	0.4315437036740233	0.9436313842671159
ngrpo	4	plateau	0	0.2993	0.4725	0.001919	8	0.3885	0.02007007542470756	0.27922992457529244	0.5010499984565027	0.5010499984565027	0.5560138905446199	0.3488041163647	0.08494656894307347	0.9422582685018541	0.49808276808220076	0.5560138905446199	0.5262625231112488	0.9422582685018541
ngrpo	2	plateau	0	0.2994	0.4295	0.001657	8	0.3869	0.020466235984294888	0.27893376401570513	0.5008999990280013	0.5008999990280013	0.448928730692658	0.33116957440037864	0.08494656894307347	0.9420969233672813	0.4409682799348051	0.5008999990280013	0.4753753855126351	0.9420969233672813
cppo	1	plateau	0	0.298	0.4261	0.001535	8	0.3916	0.019325154686154717	0.2786748453138453	0.5029999640005184	0.5029999640005184	0.44053279970872844	0.32311348966952247	0.08494656894307347	0.9419555206311622	0.4357890869884242	0.5029999640005184	0.4708996548297557	0.9419555206311622
ngrpo	3	plateau	0	0.2975	0.4584	0.00176	8	0.3873	0.020366441118711474	0.2771335588812885	0.5037499296890819	0.5037499296890819	0.5209876607065322	0.3380491520934221	0.08494656894307347	0.9411070545913075	0.47922863967867513	0.5209876607065322	0.5094473364605078	0.9411070545913075
cppo	2	plateau	0	0.2964	0.4074	0.001764	8	0.3912	0.019419614990926294	0.2769803850090737	0.505399790057795	0.505399790057795	0.3950818980367921	0.33831773056444087	0.08494656894307347	0.9410221012537837	0.41682443214862275	0.505399790057795	0.45323399978820345	0.9410221012537837
cppo	0	plateau	0	0.2951	0.4238	0.001774	8	0.392	0.01923118109912542	0.27586881890087456	0.507349470625257	0.507349470625257	0.4348721276091598	0.3389896324956522	0.08494656894307347	0.940402154801983	0.4374388314912874	0.507349470625257	0.47166581388213596	0.940402154801983
cppo	3	plateau	0	0.2946	0.4008	0.00195	8	0.3923	0.019161019359999396	0.27543898064000055	0.5080992914863769	0.5080992914863769	0.37942253207290905	0.3509194757554267	0.08494656894307347	0.9401607913659454	0.4123249486334529	0.5080992914863769	0.44866629125146557	0.9401607913659454
cppo	4	plateau	0	0.2919	0.4176	0.001728	8	0.3926	0.019091129835821685	0.2728088701641783	0.5121476090802242	0.5121476090802242	0.41970122771085155	0.3359042927795693	0.08494656894307347	0.93866388831816	0.4306757551354069	0.5121476090802242	0.4654018159358444	0.93866388831816
aero	2	plateau	0	0.2219	0.4465	0.000375	8	0.4005	0.017346453992038716	0.20455354600796127	0.6150523416852246	0.6150523416852246	0.4912508931197597	0.2520893369543627	0.08494656894307347	0.8854957239040576	0.48055901645631977	0.6150523416852246	0.5054362887059118	0.8854957239040576
aero	4	plateau	0	0.2216	0.5121	0.000577	8	0.4001	0.017430450046779965	0.20416954995322004	0.61547842665606	0.61547842665606	0.650445948782812	0.2636855450674809	0.08494656894307347	0.8851058018864632	0.5626036114017202	0.650445948782812	0.5788810240122026	0.8851058018864632
aero	0	plateau	0	0.2215	0.3307	0.000659	8	0.3992	0.017621104696226127	0.20387889530377387	0.6156204156535869	0.6156204156535869	0.2327228175737989	0.2684894543137727	0.08494656894307347	0.8848098939287451	0.3547454243457301	0.6156204156535869	0.3916321078087004	0.8848098939287451
aero	1	plateau	0	0.2185	0.2427	0.00039	8	0.3982	0.0178356612671391	0.2006643387328609	0.6198708296204114	0.6198708296204114	0.11174890826305649	0.2529387144490264	0.08494656894307347	0.8814928283766795	0.29242344590745695	0.6198708296204114	0.33559213457565384	0.8814928283766795
aero	3	plateau	0	0.2178	0.4313	6.3e-05	8	0.3987	0.017728024002820975	0.20007197599717902	0.6208599803047108	0.6208599803047108	0.45338575868105696	0.23485447095433087	0.08494656894307347	0.880872627447902	0.4599217676228079	0.6208599803047108	0.4868013483177469	0.880872627447902
mcgrpo	1	plateau	0	0.1525	0.4481	0.000232	8	0.3982	0.0178356612671391	0.1346643387328609	0.7078572714244814	0.7078572714244814	0.4952501428906749	0.244087289876596	0.08494656894307347	0.7935803213025783	0.5087997108480011	0.7078572714244814	0.520045336215825	0.7935803213025783
mcgrpo	4	plateau	0	0.1505	0.3463	0.000108	8	0.3972	0.018053101231420485	0.1324468987685795	0.7103326117671864	0.7103326117671864	0.26172926057861956	0.23728906949212744	0.08494656894307347	0.7899242687283426	0.39142222771789126	0.7103326117671864	0.4141944359459825	0.7899242687283426
mcgrpo	2	plateau	0	0.1499	0.3366	9.3e-05	8	0.3972	0.018053101231420485	0.13184689876857952	0.7110727872016187	0.7110727872016187	0.24342367071091936	0.23647560918549204	0.08494656894307347	0.7889268731950899	0.3823287933530437	0.7110727872016187	0.40592020576480486	0.7889268731950899
mcgrpo	3	plateau	0	0.1441	0.3224	-0.000143	8	0.398	0.01787891784705731	0.1262210821529427	0.7181695430683517	0.7181695430683517	0.21823188129949037	0.22393160218057157	0.08494656894307347	0.7794064536129423	0.369353124006365	0.7181695430683517	0.39352444648739227	0.7794064536129423
gift	0	drift	1	0.1053	0.2087	-1.3e-05	8	0.0208	0.8452228675737182	-0.7399228675737182	0.7628195031708752	0.7628195031708752	0.08218673805893617	0.23078215486739317	0.08494656894307347	0.0006113504391004088	0.31609565095420933	0.7628195031708752	0.26661469464041276	0.7628195031708752
es	0	drift	1	0.1056	0.0997	0.001385	8	0.0215	0.8404011537382989	-0.7348011537382989	0.7624936824854363	0.7624936824854363	0.02922699210600958	0.31335084436118815	0.08494656894307347	0.0006434570988597068	0.3060317696708733	0.7624936824854363	0.25508986788028126	0.7624936824854363
areal	0	drift	1	0.1118	0.3469	8.4e-05	8	0.0229	0.830829878369641	-0.7190298783696409	0.7556912317132565	0.7556912317132565	0.26289027924463537	0.23598845787961065	0.08494656894307347	0.0007532959620246816	0.4053502007122167	0.7556912317132565	0.3469443603136978	0.7556912317132565
es	1	plateau	0	0.115	0.1526	0.001068	8	0.3906	0.019562221541255184	0.09543777845874482	0.7521291114395701	0.7521291114395701	0.048614384504900895	0.2932606755908224	0.08494656894307347	0.7219947330580898	0.308598060802486	0.7521291114395701	0.330344653978684	0.7521291114395701
gift	3	plateau	0	0.1151	0.2374	-1.8e-05	8	0.4027	0.01689253333059679	0.0982074666694032	0.7520172359719902	0.7520172359719902	0.10659532371315973	0.23051597977813365	0.08494656894307347	0.727519681542205	0.3250060286038037	0.7520172359719902	0.3475488982320137	0.7520172359719902
es	3	plateau	0	0.1151	0.0643	0.001241	8	0.3909	0.019490780589029845	0.09560921941097014	0.7520172359719902	0.7520172359719902	0.020694007181182916	0.30413161259771665	0.08494656894307347	0.7223387154884094	0.29677849690173186	0.7520172359719902	0.319417554110182	0.7520172359719902
gift	2	plateau	0	0.1157	0.2195	0.000219	8	0.4031	0.016811455745703297	0.0988885442542967	0.7513452727249748	0.7513452727249748	0.09070970888737519	0.24336842438762876	0.08494656894307347	0.7288677201809659	0.3194321211387058	0.7513452727249748	0.3422950513039571	0.7513452727249748
es	2	plateau	0	0.1163	0.105	0.000916	8	0.3895	0.01982653850154448	0.09647346149845552	0.7506720923354948	0.7506720923354948	0.030768859357148008	0.28389954430840575	0.08494656894307347	0.7240687518038768	0.2973659662409036	0.7506720923354948	0.32075314506839253	0.7506720923354948
gift	4	plateau	0	0.1173	0.2172	6e-05	8	0.4012	0.017200549889371093	0.1000994501106289	0.7495474231576995	0.7495474231576995	0.08883040932609612	0.23469278148577621	0.08494656894307347	0.7312540644787068	0.31621798790751315	0.7495474231576995	0.3399371921040589	0.7495474231576995
gift	1	plateau	0	0.1176	0.1419	0.000252	8	0.4019	0.017056025178828593	0.1005439748211714	0.7492093644474798	0.7492093644474798	0.04389782544156781	0.24519604112034188	0.08494656894307347	0.7321267528195798	0.2957509302790962	0.7492093644474798	0.32129577245773844	0.7492093644474798
es	4	plateau	0	0.1191	0.1921	0.000956	8	0.3892	0.019899273451422797	0.0992007265485772	0.747514522318836	0.747514522318836	0.070502234423103	0.2863454648485481	0.08494656894307347	0.7294842125032182	0.31677456687691186	0.747514522318836	0.33875220549486307	0.747514522318836
areal	4	plateau	0	0.1241	0.2483	-0.000139	8	0.4038	0.01667063674961445	0.10742936325038555	0.7418104984144137	0.7418104984144137	0.11742955376731433	0.22414021475281484	0.08494656894307347	0.7454125881257768	0.3260859693585442	0.7418104984144137	0.35070554327154846	0.7454125881257768
areal	3	plateau	0	0.1239	0.1817	0.000162	8	0.4046	0.01651135499277817	0.10738864500722183	0.7420402649343216	0.7420402649343216	0.06398397114762357	0.24023346024673436	0.08494656894307347	0.7453353083106465	0.3026507571034551	0.7420402649343216	0.3291187315652396	0.7453353083106465
areal	2	plateau	0	0.1215	0.153	6.2e-05	8	0.4042	0.01659077594172342	0.10490922405827657	0.7447870416562085	0.7447870416562085	0.04879972299879996	0.23480056588801326	0.08494656894307347	0.7406005463623634	0.2947960871738652	0.7447870416562085	0.3216841037301041	0.7447870416562085
areal	1	plateau	0	0.1232	0.2572	-0.000182	8	0.4057	0.016295204169806354	0.10690479583019365	0.7428433966574473	0.7428433966574473	0.12697211516506993	0.2219048726326045	0.08494656894307347	0.7444158216645517	0.33072005110629005	0.7428433966574473	0.35482294249714286	0.7444158216645517
mcgrpo	0	drift	1	0.1332	0.3038	0.000488	8	0.0201	0.8500687701404683	-0.7168687701404683	0.7312158390991065	0.7312158390991065	0.18816162100433986	0.25853440144233647	0.08494656894307347	0.0007697400189735932	0.3651524425203692	0.7312158390991065	0.3105811518921311	0.7312158390991065
