field	value	count
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	1
cell_id	meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	1
cell_id	meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	1
loss_form	n/a-sampling	98
ref_policy_kl	n/a	98
sampler_backend_precision	tinker-closed	98
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s0_923b060d59.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t0.6_s1_05f2eef935.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s0_b153a50c68.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G2_t1_s1_640529daef.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10.json	1
per_step_zvf_path	/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef.json	1
