cell_id	model	task_slice	A_axis_score	B_axis_match_rate	C_axis_discriminative_H	profile
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4272	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4272	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4272	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4272	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4330	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4330	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4330	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4330	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	Qwen/Qwen3.5-4B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4008	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4008	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4008	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4008	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4066	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4066	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.4095	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3779	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3779	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3779	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3779	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3837	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3837	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3837	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3837	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	meta-llama/Llama-3.2-3B	gsm8k	100.0000		0.3866	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4272	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4272	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4272	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4272	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4330	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4330	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4330	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4330	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	meta-llama/Llama-3.2-3B	humaneval	100.0000		0.4359	honest_but_vacuous
