method	step	prompt	stable	p_hat
grpo	28	455	1	1.0000
grpo	28	456	1	1.0000
grpo	28	457	1	1.0000
grpo	28	458	1	1.0000
grpo	28	459	1	1.0000
grpo	28	460	0	0.8750
grpo	28	461	1	0.0000
grpo	28	462	0	0.6250
grpo	28	463	1	1.0000
grpo	29	464	1	1.0000
grpo	29	465	1	1.0000
grpo	29	466	1	1.0000
grpo	29	467	1	1.0000
grpo	29	468	0	0.5000
grpo	29	469	1	1.0000
grpo	29	470	1	1.0000
grpo	29	471	1	1.0000
grpo	29	472	1	1.0000
grpo	29	473	0	0.8750
grpo	29	474	1	1.0000
grpo	29	475	1	1.0000
grpo	29	476	1	1.0000
grpo	29	477	0	0.8750
grpo	29	478	1	1.0000
grpo	29	479	1	1.0000
grpo	30	480	1	1.0000
grpo	30	481	1	1.0000
grpo	30	482	1	1.0000
grpo	30	483	1	1.0000
grpo	30	484	1	1.0000
grpo	30	485	1	1.0000
grpo	30	486	1	1.0000
grpo	30	487	1	1.0000
grpo	30	488	1	1.0000
grpo	30	489	1	1.0000
grpo	30	490	0	0.8750
grpo	30	491	1	1.0000
grpo	30	492	1	1.0000
grpo	30	493	0	0.8750
grpo	30	494	1	1.0000
grpo	30	495	0	0.2500
grpo	31	496	1	1.0000
grpo	31	497	0	0.1250
grpo	31	498	0	0.8750
grpo	31	499	1	1.0000
grpo	31	500	1	1.0000
grpo	31	501	1	1.0000
grpo	31	502	1	1.0000
grpo	31	503	1	1.0000
grpo	31	504	1	1.0000
grpo	31	505	1	1.0000
grpo	31	506	1	1.0000
grpo	31	507	1	1.0000
grpo	31	508	0	0.8750
grpo	31	509	0	0.7500
grpo	31	510	1	1.0000
grpo	31	511	1	1.0000
grpo	32	0	1	1.0000
grpo	32	1	0	0.7500
grpo	32	2	1	1.0000
grpo	32	3	1	1.0000
grpo	32	4	1	1.0000
grpo	32	5	1	1.0000
grpo	32	6	1	1.0000
grpo	32	7	1	1.0000
grpo	32	8	1	1.0000
grpo	32	9	0	0.5000
grpo	32	10	0	0.8750
grpo	32	11	0	0.7500
grpo	32	12	1	1.0000
grpo	32	13	1	1.0000
grpo	32	14	0	0.3750
grpo	32	15	1	1.0000
grpo	33	16	1	1.0000
grpo	33	17	0	0.8750
grpo	33	18	0	0.6250
grpo	33	19	1	1.0000
grpo	33	20	1	1.0000
grpo	33	21	1	1.0000
grpo	33	22	1	1.0000
grpo	33	23	0	0.8750
grpo	33	24	1	1.0000
grpo	33	25	0	0.7500
grpo	33	26	1	1.0000
grpo	33	27	1	1.0000
grpo	33	28	1	1.0000
grpo	33	29	1	1.0000
grpo	33	30	0	0.8750
grpo	33	31	1	0.0000
grpo	34	32	1	1.0000
grpo	34	33	1	1.0000
grpo	34	34	1	1.0000
grpo	34	35	1	1.0000
grpo	34	36	1	1.0000
grpo	34	37	1	1.0000
grpo	34	38	0	0.1250
grpo	34	39	1	1.0000
grpo	34	40	1	1.0000
grpo	34	41	0	0.2500
grpo	34	42	1	1.0000
grpo	34	43	1	1.0000
grpo	34	44	1	1.0000
grpo	34	45	1	1.0000
grpo	34	46	1	1.0000
grpo	34	47	1	1.0000
grpo	35	48	1	1.0000
grpo	35	49	1	1.0000
grpo	35	50	1	1.0000
grpo	35	51	1	1.0000
grpo	35	52	1	0.0000
grpo	35	53	1	1.0000
grpo	35	54	1	1.0000
grpo	35	55	1	1.0000
grpo	35	56	1	0.0000
grpo	35	57	1	1.0000
grpo	35	58	1	1.0000
grpo	35	59	1	1.0000
grpo	35	60	1	1.0000
grpo	35	61	1	1.0000
grpo	35	62	0	0.7500
grpo	35	63	1	1.0000
grpo	36	64	1	1.0000
grpo	36	65	1	1.0000
grpo	36	66	1	0.0000
grpo	36	67	0	0.6250
grpo	36	68	1	1.0000
grpo	36	69	1	1.0000
grpo	36	70	1	1.0000
grpo	36	71	1	1.0000
grpo	36	72	1	1.0000
grpo	36	73	1	1.0000
grpo	36	74	1	1.0000
grpo	36	75	0	0.8750
grpo	36	76	1	1.0000
grpo	36	77	0	0.8750
grpo	36	78	1	1.0000
grpo	36	79	1	1.0000
grpo	37	80	1	1.0000
grpo	37	81	1	0.0000
grpo	37	82	1	1.0000
grpo	37	83	1	1.0000
grpo	37	84	1	1.0000
grpo	37	85	1	1.0000
grpo	37	86	0	0.7500
grpo	37	87	0	0.5000
grpo	37	88	1	1.0000
grpo	37	89	1	1.0000
grpo	37	90	0	0.2500
grpo	37	91	1	0.0000
grpo	37	92	1	1.0000
grpo	37	93	1	1.0000
grpo	37	94	1	1.0000
grpo	37	95	0	0.1250
grpo	38	96	1	1.0000
grpo	38	97	0	0.8750
grpo	38	98	1	1.0000
grpo	38	99	0	0.2500
grpo	38	100	0	0.2500
grpo	38	101	1	1.0000
grpo	38	102	1	1.0000
grpo	38	103	1	1.0000
grpo	38	104	1	1.0000
grpo	38	105	1	1.0000
grpo	38	106	0	0.8750
grpo	38	107	1	1.0000
grpo	38	108	1	1.0000
grpo	38	109	1	0.0000
grpo	38	110	0	0.6250
grpo	38	111	1	1.0000
grpo	39	112	1	1.0000
grpo	39	113	1	1.0000
grpo	39	114	0	0.3750
grpo	39	115	1	1.0000
grpo	39	116	0	0.1250
grpo	39	117	0	0.7500
grpo	39	118	1	1.0000
grpo	39	119	1	1.0000
grpo	39	120	0	0.6250
grpo	39	121	1	1.0000
grpo	39	122	1	1.0000
grpo	39	123	1	1.0000
grpo	39	124	1	1.0000
grpo	39	125	1	1.0000
grpo	39	126	1	1.0000
grpo	39	127	1	0.0000
aero	0	0	1	1.0000
aero	0	1	0	0.6250
aero	0	2	1	1.0000
aero	0	3	1	1.0000
aero	0	4	1	1.0000
aero	0	5	1	1.0000
aero	0	6	1	1.0000
aero	0	7	0	0.8750
aero	0	8	1	1.0000
aero	0	9	0	0.1250
aero	0	10	0	0.8750
aero	0	11	0	0.1250
aero	0	12	1	1.0000
aero	0	13	1	1.0000
aero	0	14	1	0.0000
aero	0	15	1	1.0000
aero	1	16	0	0.6250
aero	1	17	0	0.6250
aero	1	18	0	0.5000
aero	1	19	1	1.0000
aero	1	20	1	1.0000
aero	1	21	1	1.0000
aero	1	22	1	1.0000
aero	1	23	1	1.0000
aero	1	24	1	1.0000
aero	1	25	0	0.6250
aero	1	26	1	1.0000
aero	1	27	1	1.0000
aero	1	28	1	1.0000
aero	1	29	0	0.7500
aero	1	30	1	1.0000
aero	1	31	1	0.0000
aero	2	32	1	1.0000
aero	2	33	1	1.0000
aero	2	34	1	1.0000
aero	2	35	1	1.0000
aero	2	36	0	0.8750
aero	2	37	0	0.8750
aero	2	38	1	0.0000
aero	2	39	1	1.0000
aero	2	40	1	1.0000
aero	2	41	0	0.1250
aero	2	42	1	1.0000
aero	2	43	1	1.0000
aero	2	44	1	1.0000
aero	2	45	1	1.0000
aero	2	46	1	1.0000
aero	2	47	1	1.0000
aero	3	48	0	0.6250
aero	3	49	1	1.0000
aero	3	50	1	1.0000
aero	3	51	1	1.0000
aero	3	52	1	0.0000
aero	3	53	1	1.0000
aero	3	54	0	0.7500
aero	3	55	1	1.0000
aero	3	56	1	0.0000
aero	3	57	0	0.8750
aero	3	58	1	1.0000
aero	3	59	1	1.0000
aero	3	60	1	1.0000
aero	3	61	0	0.6250
aero	3	62	0	0.2500
aero	3	63	1	1.0000
aero	4	64	1	1.0000
aero	4	65	0	0.7500
aero	4	66	1	0.0000
aero	4	67	0	0.5000
aero	4	68	1	1.0000
aero	4	69	1	1.0000
aero	4	70	1	1.0000
aero	4	71	1	1.0000
aero	4	72	1	1.0000
aero	4	73	1	1.0000
aero	4	74	1	1.0000
aero	4	75	1	1.0000
aero	4	76	1	1.0000
aero	4	77	0	0.5000
aero	4	78	1	1.0000
aero	4	79	0	0.5000
aero	5	80	1	1.0000
aero	5	81	1	0.0000
aero	5	82	0	0.7500
aero	5	83	0	0.7500
aero	5	84	1	1.0000
aero	5	85	1	1.0000
aero	5	86	0	0.1250
aero	5	87	0	0.2500
aero	5	88	0	0.8750
aero	5	89	1	1.0000
aero	5	90	0	0.3750
aero	5	91	1	0.0000
aero	5	92	1	1.0000
aero	5	93	1	1.0000
aero	5	94	1	1.0000
aero	5	95	0	0.1250
aero	6	96	1	1.0000
aero	6	97	0	0.6250
aero	6	98	1	1.0000
aero	6	99	1	0.0000
aero	6	100	0	0.2500
aero	6	101	1	1.0000
aero	6	102	1	1.0000
aero	6	103	1	1.0000
aero	6	104	1	1.0000
aero	6	105	1	1.0000
aero	6	106	0	0.7500
aero	6	107	1	1.0000
aero	6	108	1	1.0000
aero	6	109	1	0.0000
aero	6	110	0	0.2500
aero	6	111	1	1.0000
aero	7	112	1	1.0000
aero	7	113	0	0.8750
aero	7	114	1	0.0000
aero	7	115	1	1.0000
aero	7	116	1	0.0000
aero	7	117	0	0.8750
aero	7	118	1	1.0000
aero	7	119	1	1.0000
aero	7	120	0	0.3750
aero	7	121	1	1.0000
aero	7	122	1	1.0000
aero	7	123	1	1.0000
aero	7	124	0	0.5000
aero	7	125	0	0.6250
aero	7	126	1	1.0000
aero	7	127	0	0.1250
aero	8	128	1	1.0000
aero	8	129	1	1.0000
aero	8	130	1	1.0000
aero	8	131	0	0.5000
aero	8	132	1	1.0000
aero	8	133	1	1.0000
aero	8	134	1	1.0000
aero	8	135	0	0.3750
aero	8	136	1	1.0000
aero	8	137	0	0.3750
aero	8	138	1	1.0000
aero	8	139	1	1.0000
aero	8	140	1	0.0000
aero	8	141	0	0.2500
aero	8	142	0	0.5000
aero	8	143	1	1.0000
aero	9	144	1	1.0000
aero	9	145	1	1.0000
aero	9	146	1	1.0000
aero	9	147	0	0.6250
aero	9	148	1	1.0000
aero	9	149	1	1.0000
aero	9	150	0	0.8750
aero	9	151	1	1.0000
aero	9	152	0	0.3750
aero	9	153	1	1.0000
aero	9	154	1	1.0000
aero	9	155	0	0.2500
aero	9	156	0	0.8750
aero	9	157	1	1.0000
aero	9	158	0	0.7500
aero	9	159	1	1.0000
aero	10	160	1	1.0000
aero	10	161	1	1.0000
aero	10	162	0	0.8750
aero	10	163	1	1.0000
aero	10	164	1	1.0000
aero	10	165	1	1.0000
aero	10	166	0	0.7500
aero	10	167	0	0.2500
aero	10	168	1	1.0000
aero	10	169	1	0.0000
aero	10	170	1	1.0000
aero	10	171	1	1.0000
aero	10	172	1	1.0000
aero	10	173	1	1.0000
aero	10	174	0	0.7500
aero	10	175	1	1.0000
aero	11	176	1	1.0000
aero	11	177	0	0.2500
aero	11	178	1	1.0000
aero	11	179	1	1.0000
aero	11	180	1	1.0000
aero	11	181	0	0.7500
aero	11	182	1	1.0000
aero	11	183	0	0.5000
aero	11	184	1	1.0000
aero	11	185	0	0.5000
aero	11	186	1	1.0000
aero	11	187	1	1.0000
aero	11	188	0	0.2500
aero	11	189	0	0.1250
aero	11	190	0	0.7500
aero	11	191	1	1.0000
aero	12	192	1	1.0000
aero	12	193	0	0.7500
aero	12	194	0	0.3750
aero	12	195	1	1.0000
aero	12	196	1	1.0000
aero	12	197	1	1.0000
aero	12	198	1	1.0000
aero	12	199	0	0.8750
aero	12	200	1	1.0000
aero	12	201	1	1.0000
aero	12	202	0	0.2500
aero	12	203	0	0.6250
aero	12	204	1	1.0000
aero	12	205	1	1.0000
aero	12	206	1	1.0000
aero	12	207	1	1.0000
aero	13	208	1	1.0000
aero	13	209	1	1.0000
aero	13	210	1	1.0000
aero	13	211	1	1.0000
aero	13	212	0	0.2500
aero	13	213	0	0.5000
aero	13	214	1	1.0000
aero	13	215	1	1.0000
aero	13	216	0	0.5000
aero	13	217	1	1.0000
aero	13	218	0	0.7500
aero	13	219	0	0.5000
aero	13	220	0	0.5000
aero	13	221	0	0.3750
aero	13	222	1	0.0000
aero	13	223	1	1.0000
aero	14	224	1	1.0000
aero	14	225	1	1.0000
aero	14	226	1	1.0000
aero	14	227	1	1.0000
aero	14	228	1	1.0000
aero	14	229	1	1.0000
aero	14	230	1	1.0000
aero	14	231	0	0.8750
aero	14	232	1	1.0000
aero	14	233	0	0.5000
aero	14	234	1	1.0000
aero	14	235	0	0.8750
aero	14	236	1	1.0000
aero	14	237	1	1.0000
aero	14	238	0	0.5000
aero	14	239	1	1.0000
aero	15	240	1	1.0000
aero	15	241	0	0.3750
aero	15	242	1	1.0000
aero	15	243	1	1.0000
aero	15	244	0	0.1250
aero	15	245	1	1.0000
aero	15	246	0	0.6250
aero	15	247	1	1.0000
aero	15	248	1	1.0000
aero	15	249	1	1.0000
aero	15	250	1	1.0000
aero	15	251	1	1.0000
aero	15	252	1	1.0000
aero	15	253	1	1.0000
aero	15	254	1	1.0000
aero	15	255	1	1.0000
aero	16	256	1	1.0000
aero	16	257	1	1.0000
aero	16	258	0	0.1250
aero	16	259	1	0.0000
aero	16	260	1	1.0000
aero	16	261	1	1.0000
aero	16	262	1	1.0000
aero	16	263	0	0.5000
aero	16	264	0	0.2500
aero	16	265	0	0.7500
aero	16	266	1	1.0000
aero	16	267	0	0.5000
aero	16	268	1	1.0000
aero	16	269	0	0.8750
aero	16	270	0	0.5000
aero	16	271	1	1.0000
aero	17	272	1	1.0000
aero	17	273	1	1.0000
aero	17	274	1	1.0000
aero	17	275	0	0.8750
aero	17	276	1	1.0000
aero	17	277	1	1.0000
aero	17	278	1	1.0000
aero	17	279	0	0.5000
aero	17	280	0	0.5000
aero	17	281	1	0.0000
aero	17	282	0	0.7500
aero	17	283	1	1.0000
aero	17	284	1	1.0000
aero	17	285	0	0.3750
aero	17	286	0	0.6250
aero	17	287	0	0.8750
aero	18	288	0	0.7500
aero	18	289	0	0.8750
aero	18	290	1	1.0000
aero	18	291	0	0.5000
aero	18	292	0	0.7500
aero	18	293	1	0.0000
aero	18	294	1	1.0000
aero	18	295	1	1.0000
aero	18	296	1	0.0000
aero	18	297	1	1.0000
aero	18	298	0	0.8750
aero	18	299	1	1.0000
aero	18	300	1	1.0000
aero	18	301	0	0.5000
aero	18	302	1	0.0000
aero	18	303	1	1.0000
aero	19	304	1	1.0000
aero	19	305	0	0.7500
aero	19	306	1	1.0000
aero	19	307	1	1.0000
aero	19	308	1	1.0000
aero	19	309	0	0.6250
aero	19	310	1	1.0000
aero	19	311	1	0.0000
