cell_id	key_present	raw_value	classification
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	Y	n/a	PRESENT_NA
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	Y	n/a	PRESENT_NA
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	Y	n/a	PRESENT_NA
