method	step	emp_gu_8	emp_gu_16	emp_gu_32	emp_gu_64	chosen_g	chosen_gu	n_fires	emp_gu_raised_by_chosen
grpo	30	0.1875	0.375	0.5	0.5	16	0.375	13	0.1875
grpo	31	0.25	0.375	0.5	1.0	16	0.375	12	0.125
grpo	32	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
grpo	33	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
grpo	34	0.125	0.25	0.5	1.0	16	0.25	14	0.125
grpo	35	0.0625	0.375	0.75	1.0	16	0.375	15	0.3125
grpo	36	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
grpo	37	0.25	0.5	1.0	1.0	16	0.5	12	0.25
grpo	38	0.3125	0.75	1.0	1.0	16	0.75	11	0.4375
grpo	39	0.25	0.5	1.0	1.0	16	0.5	12	0.25
aero	0	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
aero	1	0.3125	0.625	0.75	1.0	16	0.625	11	0.3125
aero	2	0.1875	0.375	0.5	1.0	16	0.375	13	0.1875
aero	3	0.3125	0.75	1.0	1.0	16	0.75	11	0.4375
aero	4	0.25	0.5	0.5	1.0	16	0.5	12	0.25
aero	5	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
aero	6	0.25	0.75	1.0	1.0	16	0.75	12	0.5
aero	7	0.375	0.75	1.0	1.0	16	0.75	10	0.375
aero	8	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
aero	9	0.375	0.75	1.0	1.0	16	0.75	10	0.375
aero	10	0.25	0.5	1.0	1.0	16	0.5	12	0.25
aero	11	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
aero	12	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
aero	13	0.4375	0.625	0.75	1.0	16	0.625	9	0.1875
aero	14	0.25	0.5	0.75	1.0	16	0.5	12	0.25
aero	15	0.1875	0.375	0.5	0.5	16	0.375	13	0.1875
aero	16	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
aero	17	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
aero	18	0.375	0.875	1.0	1.0	16	0.875	10	0.5
aero	19	0.375	0.875	1.0	1.0	16	0.875	10	0.5
aero	20	0.375	0.5	0.75	1.0	16	0.5	10	0.125
aero	21	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
aero	22	0.3125	0.625	0.75	1.0	16	0.625	11	0.3125
aero	23	0.1875	0.5	0.75	1.0	16	0.5	13	0.3125
aero	24	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
aero	25	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
aero	26	0.125	0.375	0.5	0.5	16	0.375	14	0.25
aero	27	0.0625	0.125	0.25	0.5	16	0.125	15	0.0625
aero	28	0.1875	0.25	0.25	0.5	16	0.25	13	0.0625
aero	29	0.125	0.25	0.5	1.0	16	0.25	14	0.125
aero	30	0.1875	0.375	0.5	0.5	16	0.375	13	0.1875
aero	31	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
aero	32	0.25	0.5	0.75	1.0	16	0.5	12	0.25
aero	33	0.375	0.625	0.75	1.0	16	0.625	10	0.25
aero	34	0.125	0.375	0.5	1.0	16	0.375	14	0.25
aero	35	0.1875	0.625	1.0	1.0	16	0.625	13	0.4375
aero	36	0.1875	0.375	0.5	1.0	16	0.375	13	0.1875
aero	37	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
aero	38	0.3125	0.75	1.0	1.0	16	0.75	11	0.4375
aero	39	0.375	0.75	1.0	1.0	16	0.75	10	0.375
gift	0	0.25	0.5	0.75	1.0	16	0.5	12	0.25
gift	1	0.4375	0.875	1.0	1.0	16	0.875	9	0.4375
gift	2	0.3125	0.625	0.75	1.0	16	0.625	11	0.3125
gift	3	0.4375	1.0	1.0	1.0	16	1.0	9	0.5625
gift	4	0.3125	0.5	0.5	1.0	16	0.5	11	0.1875
gift	5	0.375	0.75	1.0	1.0	16	0.75	10	0.375
gift	6	0.25	0.75	1.0	1.0	16	0.75	12	0.5
gift	7	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
gift	8	0.375	0.75	1.0	1.0	16	0.75	10	0.375
gift	9	0.375	0.75	1.0	1.0	16	0.75	10	0.375
gift	10	0.25	0.5	0.75	1.0	16	0.5	12	0.25
gift	11	0.375	0.75	1.0	1.0	16	0.75	10	0.375
gift	12	0.25	0.375	0.5	1.0	16	0.375	12	0.125
gift	13	0.4375	0.625	0.75	1.0	16	0.625	9	0.1875
gift	14	0.1875	0.375	0.5	0.5	16	0.375	13	0.1875
gift	15	0.375	0.625	0.75	1.0	16	0.625	10	0.25
gift	16	0.375	0.625	1.0	1.0	16	0.625	10	0.25
gift	17	0.25	0.5	0.75	1.0	16	0.5	12	0.25
gift	18	0.375	0.875	1.0	1.0	16	0.875	10	0.5
gift	19	0.25	0.625	0.75	1.0	16	0.625	12	0.375
gift	20	0.3125	0.375	0.5	0.5	16	0.375	11	0.0625
gift	21	0.25	0.5	1.0	1.0	16	0.5	12	0.25
gift	22	0.125	0.375	0.75	1.0	16	0.375	14	0.25
gift	23	0.125	0.375	0.75	1.0	16	0.375	14	0.25
gift	24	0.125	0.25	0.5	1.0	16	0.25	14	0.125
gift	25	0.25	0.5	0.75	1.0	16	0.5	12	0.25
gift	26	0.1875	0.375	0.5	0.5	16	0.375	13	0.1875
gift	27	0.0625	0.125	0.25	0.5	16	0.125	15	0.0625
gift	28	0.125	0.125	0.25	0.5	32	0.25	14	0.125
gift	29	0.0625	0.125	0.25	0.5	16	0.125	15	0.0625
gift	30	0.125	0.25	0.5	1.0	16	0.25	14	0.125
gift	31	0.0625	0.25	0.5	1.0	16	0.25	15	0.1875
gift	32	0.25	0.5	0.75	1.0	16	0.5	12	0.25
gift	33	0.0625	0.25	0.5	1.0	16	0.25	15	0.1875
gift	34	0.0	0.125	0.25	0.5	16	0.125	16	0.125
gift	35	0.0625	0.375	0.75	1.0	16	0.375	15	0.3125
gift	36	0.0625	0.25	0.25	0.5	16	0.25	15	0.1875
gift	37	0.125	0.625	1.0	1.0	16	0.625	14	0.5
gift	38	0.0625	0.375	0.75	1.0	16	0.375	15	0.3125
gift	39	0.1875	0.5	1.0	1.0	16	0.5	13	0.3125
areal	0	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
areal	1	0.5	0.875	1.0	1.0	16	0.875	8	0.375
areal	2	0.3125	0.875	1.0	1.0	16	0.875	11	0.5625
areal	3	0.3125	0.875	1.0	1.0	16	0.875	11	0.5625
areal	4	0.5	0.75	0.75	1.0	16	0.75	8	0.25
areal	5	0.25	0.75	1.0	1.0	16	0.75	12	0.5
areal	6	0.3125	0.75	1.0	1.0	16	0.75	11	0.4375
areal	7	0.125	0.625	1.0	1.0	16	0.625	14	0.5
areal	8	0.375	0.75	1.0	1.0	16	0.75	10	0.375
areal	9	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
areal	10	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
areal	11	0.5	1.0	1.0	1.0	16	1.0	8	0.5
areal	12	0.1875	0.25	0.5	1.0	16	0.25	13	0.0625
areal	13	0.4375	0.625	0.75	1.0	16	0.625	9	0.1875
areal	14	0.3125	0.625	0.75	1.0	16	0.625	11	0.3125
areal	15	0.3125	0.5	0.75	1.0	16	0.5	11	0.1875
areal	16	0.375	0.625	1.0	1.0	16	0.625	10	0.25
areal	17	0.5	0.75	1.0	1.0	16	0.75	8	0.25
areal	18	0.4375	0.875	1.0	1.0	16	0.875	9	0.4375
areal	19	0.25	0.75	1.0	1.0	16	0.75	12	0.5
areal	20	0.3125	0.375	0.5	0.5	16	0.375	11	0.0625
areal	21	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
areal	22	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
areal	23	0.1875	0.5	0.75	1.0	16	0.5	13	0.3125
areal	24	0.125	0.25	0.5	0.5	16	0.25	14	0.125
areal	25	0.375	0.625	1.0	1.0	16	0.625	10	0.25
areal	26	0.125	0.375	0.5	0.5	16	0.375	14	0.25
areal	27	0.0625	0.125	0.25	0.5	16	0.125	15	0.0625
areal	28	0.125	0.375	0.5	1.0	16	0.375	14	0.25
areal	29	0.1875	0.375	0.75	1.0	16	0.375	13	0.1875
areal	30	0.25	0.5	0.75	1.0	16	0.5	12	0.25
areal	31	0.4375	0.75	1.0	1.0	16	0.75	9	0.3125
areal	32	0.25	0.5	0.75	1.0	16	0.5	12	0.25
areal	33	0.375	0.625	0.75	1.0	16	0.625	10	0.25
areal	34	0.3125	0.625	1.0	1.0	16	0.625	11	0.3125
areal	35	0.1875	0.5	0.75	1.0	16	0.5	13	0.3125
areal	36	0.25	0.375	0.5	1.0	16	0.375	12	0.125
areal	37	0.3125	0.75	1.0	1.0	16	0.75	11	0.4375
areal	38	0.1875	0.625	1.0	1.0	16	0.625	13	0.4375
areal	39	0.25	0.625	1.0	1.0	16	0.625	12	0.375
