cell_id	field	present_in_manifest	classification	raw_value
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s0_b6fd39319c	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=32"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t0.6_s1_ee3645e450	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=32"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s0_ea5cf4fdaa	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=32"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G32_t1_s1_96d1e2cfdc	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=4"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s0_b434ff671f	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=4"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_easy"""
Qwen-Qwen3-5-4B_gsm8k_easy_G4_t0.6_s1_94f01720db	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=16"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=16"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=16"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=16"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=2"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=32"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	sampler_backend_precision	Y	PRESENT_KEYWORD	"""tinker-closed"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	per_step_zvf_path	Y	PRESENT_PATH	"""/home/claude/tinker-rl-lab/experiments/results/mega_20260704/group_tensors/Qwen"
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	group_size_schedule	Y	PRESENT_KEYWORD	"""fixed-G=32"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	heldout_split	Y	PRESENT_KEYWORD	"""gsm8k_hard"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	decontamination_notes	Y	PRESENT_KEYWORD	"""gsm8k-train-slice"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	cell_id	Y	PRESENT_KEYWORD	"""Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	loss_form	Y	PRESENT_NA	"""n/a-sampling"""
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	ref_policy_kl	Y	PRESENT_NA	"""n/a"""
