d_i	d_j	label_i	label_j	v_i	v_j	ratio
D3	D7	P5_cells_with_seed_pass	N2_algo_axis_spread_gt_500	0.3673	0.0156	23.544871794871796
D3	D8	P5_cells_with_seed_pass	P7_UNIFIED_C4_FIRE_density	0.3673	0.0914	4.018599562363239
D3	D9	P5_cells_with_seed_pass	P7_UNIFIED_C4_contrast_recov	0.3673	0.0914	4.018599562363239
D3	D10	P5_cells_with_seed_pass	P8_operationally_actionable	0.3673	0.78	0.4708974358974359
D3	D11	P5_cells_with_seed_pass	P8_escalation_value_density	0.3673	1.0	0.3673
D4	D5	P7_per_prompt_boundary	P8_iso_ECE_gt_010	0.7293	1.0	0.7293
D4	D6	P7_per_prompt_boundary	P8_sensor_firing_flip	0.7293	0.0053	137.60377358490564
D4	D7	P7_per_prompt_boundary	N2_algo_axis_spread_gt_500	0.7293	0.0156	46.75
D4	D8	P7_per_prompt_boundary	P7_UNIFIED_C4_FIRE_density	0.7293	0.0914	7.9792122538293215
D4	D9	P7_per_prompt_boundary	P7_UNIFIED_C4_contrast_recov	0.7293	0.0914	7.9792122538293215
D4	D10	P7_per_prompt_boundary	P8_operationally_actionable	0.7293	0.78	0.9349999999999999
D4	D11	P7_per_prompt_boundary	P8_escalation_value_density	0.7293	1.0	0.7293
D5	D6	P8_iso_ECE_gt_010	P8_sensor_firing_flip	1.0	0.0053	188.67924528301887
D5	D7	P8_iso_ECE_gt_010	N2_algo_axis_spread_gt_500	1.0	0.0156	64.1025641025641
D5	D8	P8_iso_ECE_gt_010	P7_UNIFIED_C4_FIRE_density	1.0	0.0914	10.940919037199125
D5	D9	P8_iso_ECE_gt_010	P7_UNIFIED_C4_contrast_recov	1.0	0.0914	10.940919037199125
D5	D10	P8_iso_ECE_gt_010	P8_operationally_actionable	1.0	0.78	1.282051282051282
D5	D11	P8_iso_ECE_gt_010	P8_escalation_value_density	1.0	1.0	1.0
D6	D7	P8_sensor_firing_flip	N2_algo_axis_spread_gt_500	0.0053	0.0156	0.33974358974358976
D6	D8	P8_sensor_firing_flip	P7_UNIFIED_C4_FIRE_density	0.0053	0.0914	0.05798687089715537
D6	D9	P8_sensor_firing_flip	P7_UNIFIED_C4_contrast_recov	0.0053	0.0914	0.05798687089715537
D6	D10	P8_sensor_firing_flip	P8_operationally_actionable	0.0053	0.78	0.006794871794871794
D6	D11	P8_sensor_firing_flip	P8_escalation_value_density	0.0053	1.0	0.0053
D7	D8	N2_algo_axis_spread_gt_500	P7_UNIFIED_C4_FIRE_density	0.0156	0.0914	0.17067833698030635
D7	D9	N2_algo_axis_spread_gt_500	P7_UNIFIED_C4_contrast_recov	0.0156	0.0914	0.17067833698030635
D7	D10	N2_algo_axis_spread_gt_500	P8_operationally_actionable	0.0156	0.78	0.019999999999999997
D7	D11	N2_algo_axis_spread_gt_500	P8_escalation_value_density	0.0156	1.0	0.0156
D8	D9	P7_UNIFIED_C4_FIRE_density	P7_UNIFIED_C4_contrast_recov	0.0914	0.0914	1.0
D8	D10	P7_UNIFIED_C4_FIRE_density	P8_operationally_actionable	0.0914	0.78	0.11717948717948717
D8	D11	P7_UNIFIED_C4_FIRE_density	P8_escalation_value_density	0.0914	1.0	0.0914
D9	D10	P7_UNIFIED_C4_contrast_recov	P8_operationally_actionable	0.0914	0.78	0.11717948717948717
D9	D11	P7_UNIFIED_C4_contrast_recov	P8_escalation_value_density	0.0914	1.0	0.0914
D10	D11	P8_operationally_actionable	P8_escalation_value_density	0.78	1.0	0.78
