cell_id	model_family	task_slice	G	temperature	seed	n_prompts	p_hat	zvf_empirical	zvf_cells	pcd_cells	mean_reward_cells	Item14_K_var_resid	Item15_K_unique	Item16_max_K_share	Item17_p_hat_var	manifest_keys
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s0_118afdc1a5	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.6	0	32	0.777344	0.53125	0.53125	0.0638580322265625	0.77734375	24.101807	11	0.5	0.104965	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t0.6_s1_c4ba230736	Qwen/Qwen3.5-4B	gsm8k_hard	16	0.6	1	32	0.761719	0.5	0.5	0.0732421875	0.76171875	23.560791	13	0.46875	0.103378	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s0_c4991bf97d	Qwen/Qwen3.5-4B	gsm8k_hard	16	1.0	0	32	0.902344	0.71875	0.71875	0.0382232666015625	0.90234375	10.711182	7	0.6875	0.047348	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G16_t1_s1_3af89154ca	Qwen/Qwen3.5-4B	gsm8k_hard	16	1.0	1	32	0.775391	0.53125	0.53125	0.07495880126953125	0.775390625	21.329651	11	0.5	0.094204	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s0_ef4c3f1274	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.6	0	32	0.90625	0.9375	0.9375	0.0078125	0.90625	0.107422	3	0.875	0.069336	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t0.6_s1_416a73f0f5	Qwen/Qwen3.5-4B	gsm8k_hard	2	0.6	1	32	0.828125	0.78125	0.78125	0.02734375	0.828125	0.065918	3	0.71875	0.087646	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s0_d6dc109a20	Qwen/Qwen3.5-4B	gsm8k_hard	2	1.0	0	32	0.875	0.8125	0.8125	0.0234375	0.875	0.03125	3	0.78125	0.0625	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G2_t1_s1_b9bc86f4ea	Qwen/Qwen3.5-4B	gsm8k_hard	2	1.0	1	32	0.796875	0.84375	0.84375	0.01953125	0.796875	0.16748	3	0.71875	0.122803	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s0_50c249bd96	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.6	0	32	0.821289	0.59375	0.59375	0.058211326599121094	0.8212890625	84.067902	13	0.5625	0.086684	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t0.6_s1_9c43d86c6b	Qwen/Qwen3.5-4B	gsm8k_hard	32	0.6	1	32	0.816406	0.65625	0.65625	0.04517364501953125	0.81640625	100.937988	12	0.625	0.103256	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s0_5521a4a193	Qwen/Qwen3.5-4B	gsm8k_hard	32	1.0	0	32	0.817383	0.34375	0.34375	0.07411670684814453	0.8173828125	69.730255	13	0.34375	0.072761	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G32_t1_s1_5abf741165	Qwen/Qwen3.5-4B	gsm8k_hard	32	1.0	1	32	0.845703	0.65625	0.65625	0.0506134033203125	0.845703125	75.945435	12	0.625	0.078243	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s0_567e2fc7f9	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.6	0	32	0.773438	0.6875	0.6875	0.04833984375	0.7734375	1.071533	5	0.625	0.110779	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t0.6_s1_dbb41c261e	Qwen/Qwen3.5-4B	gsm8k_hard	4	0.6	1	32	0.945312	0.90625	0.90625	0.01318359375	0.9453125	0.339111	3	0.90625	0.034119	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s0_cd3e28cb0e	Qwen/Qwen3.5-4B	gsm8k_hard	4	1.0	0	32	0.796875	0.75	0.75	0.0380859375	0.796875	1.129883	5	0.65625	0.111084	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G4_t1_s1_05d36328de	Qwen/Qwen3.5-4B	gsm8k_hard	4	1.0	1	32	0.8125	0.71875	0.71875	0.0439453125	0.8125	0.890625	5	0.65625	0.09375	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s0_eaa0c23aa2	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.6	0	32	0.90625	0.8125	0.8125	0.025634765625	0.90625	2.882812	5	0.8125	0.055664	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t0.6_s1_f0e7e296e3	Qwen/Qwen3.5-4B	gsm8k_hard	8	0.6	1	32	0.847656	0.75	0.75	0.03887939453125	0.84765625	4.387817	7	0.6875	0.084702	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s0_f7266511fb	Qwen/Qwen3.5-4B	gsm8k_hard	8	1.0	0	32	0.792969	0.625	0.625	0.06280517578125	0.79296875	4.599731	8	0.5625	0.092392	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_gsm8k_hard_G8_t1_s1_3bf25dbc01	Qwen/Qwen3.5-4B	gsm8k_hard	8	1.0	1	32	0.832031	0.6875	0.6875	0.04998779296875	0.83203125	4.170044	8	0.65625	0.082626	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s0_4bcb7d7b0e	Qwen/Qwen3.5-4B	humaneval_subset	16	0.6	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G16_t0.6_s1_2242878eaa	Qwen/Qwen3.5-4B	humaneval_subset	16	0.6	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s0_5fdcf7ed0b	Qwen/Qwen3.5-4B	humaneval_subset	16	1.0	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G16_t1_s1_51bf6b93a1	Qwen/Qwen3.5-4B	humaneval_subset	16	1.0	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s0_5e1ac2c1f5	Qwen/Qwen3.5-4B	humaneval_subset	2	0.6	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G2_t0.6_s1_e6553565b9	Qwen/Qwen3.5-4B	humaneval_subset	2	0.6	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s0_d876309eb2	Qwen/Qwen3.5-4B	humaneval_subset	2	1.0	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G2_t1_s1_d247b1d0ea	Qwen/Qwen3.5-4B	humaneval_subset	2	1.0	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G32_t1_s1_8452f56ff7	Qwen/Qwen3.5-4B	humaneval_subset	32	1.0	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s0_27daa4cda5	Qwen/Qwen3.5-4B	humaneval_subset	4	0.6	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G4_t0.6_s1_7c9b62a065	Qwen/Qwen3.5-4B	humaneval_subset	4	0.6	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s0_a47da09000	Qwen/Qwen3.5-4B	humaneval_subset	4	1.0	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G4_t1_s1_6288406035	Qwen/Qwen3.5-4B	humaneval_subset	4	1.0	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s0_9bee70250b	Qwen/Qwen3.5-4B	humaneval_subset	8	0.6	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G8_t0.6_s1_88242e7f3e	Qwen/Qwen3.5-4B	humaneval_subset	8	0.6	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s0_30b6719385	Qwen/Qwen3.5-4B	humaneval_subset	8	1.0	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
Qwen-Qwen3-5-4B_humaneval_subset_G8_t1_s1_9ab9fb26c7	Qwen/Qwen3.5-4B	humaneval_subset	8	1.0	1	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s0_8e446dc877	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.6	0	32	0.039062	0.59375	0.59375	0.0322723388671875	0.0390625	0.196289	4	0.59375	0.003113	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G16_t0.6_s1_e9a9423400	meta-llama/Llama-3.2-3B	gsm8k_easy	16	0.6	1	32	0.044922	0.5	0.5	0.03650665283203125	0.044921875	0.328186	4	0.5	0.003963	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.6	0	32	0.078125	0.90625	0.90625	0.01171875	0.078125	0.050293	3	0.875	0.048584	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	meta-llama/Llama-3.2-3B	gsm8k_easy	2	0.6	1	32	0.03125	1.0	1.0	0.0	0.03125	0.060547	2	0.96875	0.030273	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	meta-llama/Llama-3.2-3B	gsm8k_easy	2	1.0	0	32	0.0	1.0	1.0	0.0	0.0	0.0	1	1.0	0.0	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	meta-llama/Llama-3.2-3B	gsm8k_easy	2	1.0	1	32	0.046875	0.96875	0.96875	0.00390625	0.046875	0.058105	3	0.9375	0.036865	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.6	0	32	0.036133	0.4375	0.4375	0.031722068786621094	0.0361328125	1.017365	6	0.4375	0.002082	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	meta-llama/Llama-3.2-3B	gsm8k_easy	32	0.6	1	32	0.038086	0.5	0.5	0.033318519592285156	0.0380859375	1.123566	5	0.5	0.002242	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	meta-llama/Llama-3.2-3B	gsm8k_easy	32	1.0	0	32	0.024414	0.59375	0.59375	0.02167034149169922	0.0244140625	0.721222	5	0.59375	0.001449	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	meta-llama/Llama-3.2-3B	gsm8k_easy	32	1.0	1	32	0.025391	0.5	0.5	0.0231781005859375	0.025390625	0.047974	4	0.5	0.00082	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.6	0	32	0.015625	0.9375	0.9375	0.0087890625	0.015625	-0.00293	2	0.9375	0.003662	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	meta-llama/Llama-3.2-3B	gsm8k_easy	4	0.6	1	32	0.0625	0.78125	0.78125	0.0322265625	0.0625	0.015625	3	0.78125	0.015625	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.6	0	32	0.066406	0.625	0.625	0.04400634765625	0.06640625	0.253052	4	0.625	0.011703	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	meta-llama/Llama-3.2-3B	gsm8k_easy	8	0.6	1	32	0.023438	0.84375	0.84375	0.01708984375	0.0234375	0.031738	3	0.84375	0.003357	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.6	0	32	0.041016	0.625	0.625	0.03192901611328125	0.041015625	0.721252	5	0.625	0.005276	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	meta-llama/Llama-3.2-3B	gsm8k_hard	16	0.6	1	32	0.042969	0.5625	0.5625	0.035247802734375	0.04296875	0.244385	4	0.5625	0.003525	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	meta-llama/Llama-3.2-3B	gsm8k_hard	16	1.0	0	32	0.017578	0.75	0.75	0.01522064208984375	0.017578125	-0.011658	3	0.75	0.001034	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	meta-llama/Llama-3.2-3B	gsm8k_hard	16	1.0	1	32	0.015625	0.78125	0.78125	0.0135040283203125	0.015625	0.003906	3	0.78125	0.000977	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.6	0	32	0.0625	0.875	0.875	0.015625	0.0625	-0.007812	2	0.875	0.027344	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	meta-llama/Llama-3.2-3B	gsm8k_hard	2	0.6	1	32	0.0625	0.875	0.875	0.015625	0.0625	-0.007812	2	0.875	0.027344	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	meta-llama/Llama-3.2-3B	gsm8k_hard	2	1.0	0	32	0.015625	0.96875	0.96875	0.00390625	0.015625	-0.000488	2	0.96875	0.007568	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	meta-llama/Llama-3.2-3B	gsm8k_hard	2	1.0	1	32	0.03125	0.9375	0.9375	0.0078125	0.03125	-0.001953	2	0.9375	0.014648	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.6	0	32	0.039062	0.4375	0.4375	0.03399848937988281	0.0390625	1.298828	6	0.4375	0.002441	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	meta-llama/Llama-3.2-3B	gsm8k_hard	32	0.6	1	32	0.053711	0.34375	0.34375	0.045912742614746094	0.0537109375	1.888214	7	0.34375	0.003432	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	meta-llama/Llama-3.2-3B	gsm8k_hard	32	1.0	0	32	0.023438	0.59375	0.59375	0.020753860473632812	0.0234375	0.767578	4	0.59375	0.001465	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	meta-llama/Llama-3.2-3B	gsm8k_hard	32	1.0	1	32	0.019531	0.625	0.625	0.0175018310546875	0.01953125	0.496582	4	0.625	0.001083	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.6	0	32	0.039062	0.84375	0.84375	0.02197265625	0.0390625	-0.018311	2	0.84375	0.00824	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	meta-llama/Llama-3.2-3B	gsm8k_hard	4	0.6	1	32	0.054688	0.8125	0.8125	0.02783203125	0.0546875	0.026611	3	0.8125	0.014587	cell_id,decontamination_notes,group_size_schedule,heldout_split,loss_form,per_step_zvf_path,ref_policy_kl,sampler_backend_precision
