cell_id	passed	total	score	tier	fail_check_ids
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s0_3893b76a6e	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t0.6_s1_75fe692ecb	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s0_380865a051	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G2_t1_s1_696c3537a1	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s0_6a8e8385fb	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t0.6_s1_37acf24f27	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s0_9dc6f09c24	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G32_t1_s1_4e257ac5eb	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s0_4c0ce0d4bc	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G4_t0.6_s1_cba6422e4d	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s0_199c1c636d	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_easy_G8_t0.6_s1_d59ab724e2	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s0_d897142710	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t0.6_s1_b60b0420a2	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s0_6aab836f38	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G16_t1_s1_1e545cf2f6	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s0_a5b25a88a5	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t0.6_s1_58aa148ca9	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s0_6c07ec4633	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G2_t1_s1_4a331a7ae6	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s0_0d154e9dbc	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t0.6_s1_0d9bbbab8f	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s0_b4416437d2	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G32_t1_s1_8a659041ea	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s0_474f8bfa6e	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t0.6_s1_2147d931ee	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s0_b4ba73c1c9	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G4_t1_s1_0db0d133df	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s0_f87bc50f73	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t0.6_s1_e453dd702b	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s0_509de77c10	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_gsm8k_hard_G8_t1_s1_eb472478d3	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s0_fcf1ee8924	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t0.6_s1_7b9d73e4fa	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s0_5eca406a5e	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G16_t1_s1_54abe1b310	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s0_74596db7ea	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t0.6_s1_f00f8119db	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s0_f87f680e42	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G2_t1_s1_a0dffa8860	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G32_t0.6_s0_4199d781a5	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s0_88fd09ba58	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t0.6_s1_c2e1c58d03	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s0_17fc7e91db	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G4_t1_s1_ade17b9ade	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s0_0614d05c8f	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t0.6_s1_ff5b88ec10	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s0_2d6d38d3ef	10	10	1.0	perfect	
meta-llama-Llama-3-2-3B_humaneval_subset_G8_t1_s1_12354b9ca9	10	10	1.0	perfect	
